perturbation,text_id,крупный,мелкий,средний
add_punctuation,coling::33c5609d-3402-4e52-abb9-f74944f2418e,2.72,36.65,-7.17
add_punctuation,coling::365ba259-c2eb-480e-84d9-eab251a43b47,-17.63,10.12,-20.26
add_punctuation,coling::37e384a6-d2b8-444e-ac7f-d4288c173442,6.21,36.4,-9.73
add_punctuation,coling::3acbf3b4-cdc2-42b4-9b2c-839dd8bb95f5,-6.74,22.49,-14.2
add_punctuation,coling::3bec38ad-9c98-4004-95a3-5b24858e7401,-15.71,25.94,-18.04
add_punctuation,coling::3dd39352-d471-4ab9-bd50-b7345fc1d97c,6.17,34.72,-2.23
add_punctuation,coling::4622a5f2-c96d-4ea1-9629-b734e9768fd2,10.64,43.32,-1.58
add_punctuation,coling::46555368-c6ff-46dc-88fc-bf38c422299b,-8.01,11.47,-11.99
add_punctuation,coling::4979d6d3-5de1-40a4-9a75-cfd7fc6085a9,-3.38,47.54,-16.23
add_punctuation,coling::49a2d576-81e8-4b16-889d-beb4a986f322,12.67,28.97,0.86
add_punctuation,coling::4b504a77-e4f6-447f-996a-b39d54b5c54c,5.17,29.88,-0.26
add_punctuation,coling::4e7728dc-010d-47cb-95f2-16525a713ce3,-12.78,23.01,-5.77
add_punctuation,coling::5293d27b-2991-4ca1-93ab-e336d0ebeefc,-2.94,32.17,-8.96
add_punctuation,coling::54bd7a63-4df1-4ef1-979a-2ae688d3c276,8.98,20.6,-3.23
add_punctuation,coling::564547e8-c996-4ee6-8beb-abfe80624a51,5.7,28.12,-0.06
add_punctuation,coling::56d83b20-4592-4ff6-b3ab-c3299c657735,-4.54,43.52,-7.74
add_punctuation,coling::5895f991-9d37-49fe-9f39-eeff324a797c,-3.12,28.38,-13.74
add_punctuation,coling::59aec439-babf-4d21-b03b-4f331a96f0bf,13.66,32.29,0.1
add_punctuation,coling::5e64f27a-ba00-4d66-8985-34fc48e8302f,-2.67,65.07,-13.63
add_punctuation,coling::5fe97409-ffd6-4931-b20b-8449a9edaab3,10.98,41.81,6.03
add_punctuation,coling::60c879b9-6ebb-4551-8f22-52c6a144770b,-11.62,21.61,-13.97
add_punctuation,coling::60e5cc06-240c-4ed3-80bd-353d0ba88cb2,-0.54,23.17,-0.15
add_punctuation,coling::65648d18-be4d-475d-bcab-2fbcdb8ade2d,-5.74,37.44,-13.97
add_punctuation,coling::6670f84e-b3ea-4cdf-98af-e79e2579d9b7,-4.37,27.16,-4.51
add_punctuation,coling::669f87a1-c0ae-4677-a33d-a44341fab6e4,-4.22,26.56,5.61
