токен,класс,k,размах,диаметр,мин. пара
Ġ.,пункт,4,0.3861846629374209,0.4571540951648283,0.25912900558454743
Ġand,служ,3,0.5590506762480192,0.6307160437931426,0.4613944298500606
ĠUnited,смысл-част,3,0.5077210631851975,0.5421207451086931,0.44463337406281883
He,подслово,2,0.2710616935080355,0.2710616935080355,0.2710616935080355
left,подслово,2,0.2352477101114932,0.2352477101114932,0.2352477101114932
's,подслово,2,0.4333361208230516,0.4333361208230516,0.4333361208230516
Ġsummer,смысл-редк,2,0.44233912645723955,0.44233912645723955,0.44233912645723955
Ġto,служ,10,0.5559013447138768,0.6931660598516333,0.15547333082351064
ĠArgentina,смысл-редк,2,0.48871956900798147,0.48871956900798147,0.48871956900798147
Ġin,служ,2,0.5495659712743182,0.5495659712743182,0.5495659712743182
Ġwhile,служ,3,0.5902179918218786,0.6430264358586445,0.5237418431605446
ĠMaria,смысл-редк,2,0.41094312923212517,0.41094312923212517,0.41094312923212517
Ġwith,служ,6,0.4926062610869824,0.5899046922411733,0.4069237756924634
-,пункт,4,0.5728354324520191,0.7364367403577802,0.2414779238500286
ĠRo,смысл-редк,5,0.5246166297699223,0.6378198950262935,0.32332979685550506
jo,подслово,6,0.44733660879197723,0.5563561938996394,0.35743201302493754
Ġwas,служ,6,0.4822971841195152,0.5817055195117039,0.4067956803884407
Ġthe,служ,6,0.8614611018597439,1.3367144023270592,0.05639476385988966
",",пункт,2,0.9487571840857237,0.9487571840857237,0.9487571840857237
Ġa,служ,4,0.44256157641080585,0.491020651715782,0.37684211516693067
Ġfor,служ,2,0.5510871614094575,0.5510871614094575,0.5510871614094575
Ġon,служ,3,0.535802739860598,0.5959901368205712,0.434376983375335
ĠSunday,смысл-редк,2,0.5540130422061368,0.5540130422061368,0.5540130422061368
-,пункт,3,0.6108269128415893,0.7298556548482213,0.43340836341481115
Ġthe,служ,5,0.8909336056642555,1.3086430457089628,0.028401549269293048
Ġthat,служ,2,0.3379255735960844,0.3379255735960844,0.3379255735960844
Ġa,служ,2,0.4924298908249637,0.4924298908249637,0.4924298908249637
Ġme,служ,3,0.4263163109197293,0.43569247348126094,0.4204566220698925
Ġshe,служ,2,0.4843629302609476,0.4843629302609476,0.4843629302609476
ĠUnited,смысл-част,2,0.5451918325368689,0.5451918325368689,0.5451918325368689
Ġwas,служ,3,0.5018382209556415,0.5765071724501096,0.43477620410193907
Ġwhile,служ,2,0.5984891386859217,0.5984891386859217,0.5984891386859217
ĠRo,смысл-редк,2,0.48909290144342243,0.48909290144342243,0.48909290144342243
",",пункт,5,0.6556513197710281,1.023455341081648,0.3850547783641081
Ġand,служ,7,0.5267343215722177,0.6576942783834032,0.42647106381101174
jo,подслово,5,0.43125177788199065,0.48969450864046926,0.3537866796318422
.,пункт,7,0.7902354434036485,1.4382301644402113,0.383418745568943
Ġto,служ,6,0.5824687890756943,0.6869716579943993,0.4593680331107381
ĠDi,смысл-редк,2,0.354947424034034,0.354947424034034,0.354947424034034
ĠManchester,смысл-редк,3,0.44468503725280756,0.5152871996480228,0.4052179570698341
left,подслово,2,0.23314544495913334,0.23314544495913334,0.23314544495913334
ĠA,служ,2,0.26575261592229116,0.26575261592229116,0.26575261592229116
Ġ(,пункт,3,0.32255555296639915,0.36268522314349416,0.2824944297498329
Ġover,служ,2,0.6537792255810078,0.6537792255810078,0.6537792255810078
ĠI,служ,3,0.382750467752524,0.44605099737419673,0.33542344483259556
