mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,genre,text_idx
q_small,0.85,27.075945756488334,0.5048708290948387,0.9630668487448729,1.677304602815747,0.999997443286633,0.000786777996241096,0.001298904961045011,0.0006886729225623727,7,41,201,xsum,1
q_small,0.9,27.402136159418752,0.8866519717452839,0.9635064947425175,1.2904127137237684,0.9999924902386069,0.0013490360089518257,0.0020862974678017565,0.0011808217506912098,7,41,201,xsum,1
q0.5_range,0.0,5.317025445340021,0.31170071180025394,0.8119249173658881,3.1105201377286114,0.999078832396911,0.01259619904037793,0.022047580111776988,0.011025551359797063,7,41,201,xsum,2
q0.5_range,0.05,5.989944883795132,0.37175130009170165,0.8330535556837351,3.102410213528898,0.9992271377998785,0.011837119756679792,0.02034671522228937,0.010361123336570091,7,41,201,xsum,2
q0.5_range,0.1,6.665175219295671,0.41007416151482184,0.8499664349250712,3.08694002797215,0.9994106287540612,0.010545774037678353,0.017652562025457286,0.009230798347066173,7,41,201,xsum,2
q0.5_range,0.15,7.585871101738343,0.5265883538338189,0.8681759831417588,3.0519749361247395,0.9994448198183348,0.010454410041616275,0.016798700573502856,0.009150826728025412,7,41,201,xsum,2
q0.5_range,0.2,8.837806275570106,0.6841634422567776,0.8868497488155801,3.005391337520497,0.9995124715713978,0.010007143027275666,0.01505996475226734,0.008759330418515877,7,41,201,xsum,2
q0.5_range,0.25,10.377565257036675,0.7783997473363299,0.9036382836213018,2.959893999217452,0.999680209663912,0.008257544792517047,0.012785901004409794,0.007227893424347623,7,41,201,xsum,2
q0.5_range,0.3,12.008602227024141,0.766479192235666,0.9167263615619142,2.9258107613792337,0.9998319461470462,0.006072319977829723,0.009728598892708717,0.005315149083788582,7,41,201,xsum,2
q0.5_range,0.35,13.347149333870874,0.6964325713148164,0.9250776345580914,2.910166058163788,0.9999107149112724,0.004466231529292208,0.007021579126036848,0.003909327325894555,7,41,201,xsum,2
q0.5_range,0.4,14.243541048642811,0.620081744675891,0.9297927392784616,2.910253143886381,0.9999459743195747,0.0034918228348453533,0.005334633073602824,0.003056419788341524,7,41,201,xsum,2
q0.5_range,0.45,14.847764862213854,0.5869095342051717,0.9326497954890904,2.920263833160265,0.9999592607418019,0.0030415026565708044,0.004493384843222259,0.0026622510206042653,7,41,201,xsum,2
q0.5_range,0.5,15.702561764883345,0.5862727635578298,0.9363161237654632,2.93295791140345,0.9999677575234279,0.0027164261080637004,0.004016286231943056,0.002377708979791682,7,41,201,xsum,2
q_large,0.0,8.783688054715023,0.4191470606487497,0.8861526054009617,3.6793785261023704,0.9998121130589749,0.006206572249682126,0.010664827298516144,0.005432661145461569,7,41,201,xsum,2
