текст,условие,проекция,"доля > 0, %"
14,исходный [случайная ось],0.00205114100792614,57.77777777777777
14,перемешивание,0.34388567314627033,100.0
14,перемешивание [случайная ось],-0.006762107027756194,36.17021276595745
14,эхо x2,0.03613243144692424,71.15384615384616
14,эхо x2 [случайная ось],0.005274231117318951,57.692307692307686
14,эхо x4,-0.02949836713266778,37.254901960784316
14,эхо x4 [случайная ось],0.003627261953475006,54.90196078431373
14,эхо на четверти,-0.005127033692283493,49.056603773584904
14,эхо на четверти [случайная ось],0.006317139730398162,73.58490566037736
14,словарь к 25,0.11100246911340292,96.29629629629629
14,словарь к 25 [случайная ось],0.004744482140256078,57.407407407407405
14,словарь к 60,0.11092440037834643,79.16666666666666
14,словарь к 60 [случайная ось],-0.004060930874757429,41.66666666666667
14,все слова разные,0.23543960127203978,100.0
14,все слова разные [случайная ось],-0.008814942671052687,26.865671641791046
14,чужие хапаксы,0.10393263750259157,97.95918367346938
14,чужие хапаксы [случайная ось],0.0005614603625799547,51.02040816326531
14,хапаксы одного домена,0.10286163916286721,98.0392156862745
14,хапаксы одного домена [случайная ось],0.0026135925145251283,52.94117647058824
14,20 чужих хапаксов,-0.014585007395081003,41.81818181818181
14,20 чужих хапаксов [случайная ось],0.0008931797863721514,47.27272727272727
14,маркер каждые 3,-0.03625848899332346,37.634408602150536
14,маркер каждые 3 [случайная ось],0.015912418256438684,70.96774193548387
14,без пунктуации,0.1094711513428774,92.98245614035088
14,без пунктуации [случайная ось],0.00573525479800789,68.42105263157895
14,без служебных,0.06619268714938416,78.84615384615384
14,без служебных [случайная ось],-0.006528008807016008,36.53846153846153
15,исходный,0.010168746200195802,54.71698113207547
15,исходный [случайная ось],-0.009534105994855812,22.641509433962266
15,перемешивание,0.294579262814289,100.0
15,перемешивание [случайная ось],-0.011696617224293188,28.07017543859649
15,эхо x2,0.03214065359480046,57.14285714285714
15,эхо x2 [случайная ось],-0.004071748060935625,35.714285714285715
15,эхо x4,-0.055819419495449225,20.408163265306122
15,эхо x4 [случайная ось],0.00018608357437634157,61.224489795918366
15,эхо на четверти,0.029020202274713126,66.0
15,эхо на четверти [случайная ось],-0.0035640624607217804,36.0
15,словарь к 25,0.005363463025691907,48.4375
15,словарь к 25 [случайная ось],-0.007971819313203156,29.6875
15,словарь к 60,0.01292684967671826,49.056603773584904
15,словарь к 60 [случайная ось],-0.012320804596540695,22.641509433962266
15,все слова разные,0.252069832245058,100.0
15,все слова разные [случайная ось],-0.0020613485869984253,45.09803921568628
15,чужие хапаксы,0.13626040759711483,94.91525423728814
15,чужие хапаксы [случайная ось],-4.945221089961083e-05,47.45762711864407
15,хапаксы одного домена,0.12356363926710326,98.21428571428571
15,хапаксы одного домена [случайная ось],-0.0066146022784571296,32.142857142857146
15,20 чужих хапаксов,0.047478996595384786,77.55102040816327
15,20 чужих хапаксов [случайная ось],-0.007177751671430155,32.6530612244898
15,маркер каждые 3,-0.005707170998998392,51.388888888888886
15,маркер каждые 3 [случайная ось],-0.0006131428546934026,51.388888888888886
15,без пунктуации,0.11354450318781713,96.66666666666667
15,без пунктуации [случайная ось],-0.006590090793448708,26.666666666666668
15,без служебных,0.062110800084740084,83.82352941176471
15,без служебных [случайная ось],-0.009141149589936377,25.0
16,исходный,0.04953269195664865,80.35714285714286
16,исходный [случайная ось],0.0004626301705318199,48.214285714285715
16,перемешивание,0.31090100017564154,100.0
16,перемешивание [случайная ось],-0.002063058766569585,41.66666666666667
16,эхо x2,0.07385561124730004,84.90566037735849
16,эхо x2 [случайная ось],0.0005852665682711586,49.056603773584904
16,эхо x4,0.01007397335792691,46.875
16,эхо x4 [случайная ось],0.008980869307501868,70.3125
16,эхо на четверти,0.06021136983863222,81.9672131147541
16,эхо на четверти [случайная ось],0.0038580738602735374,63.934426229508205
16,словарь к 25,0.18239359166109728,100.0
16,словарь к 25 [случайная ось],-0.004711341276115147,36.734693877551024
16,словарь к 60,0.210868147025021,100.0
16,словарь к 60 [случайная ось],0.007855319033439567,64.44444444444444
16,все слова разные,0.26953480746925623,100.0
