текст,условие,зерно,типов k>=2,радиус по типам,радиус по токенам,"до ближайшего, прочие",прочие: доля на оси,прочие: смещение,экземпляров маркера,"доля выборки, %",радиус маркера,радиус прочих,"до ближайшего, маркер",до ближайшего центра,зазор маркера,"коротких рёбер маркерных, %",маркер: доля на оси,маркер: смещение
6,маркер каждые 3,0,22,0.3597374659828669,0.3477377551227225,0.6159335586535797,0.019137009978294373,0.5671380681773209,49.0,24.378109452736318,0.2987756211066022,0.3626404109769747,0.28763364166169864,0.8414746012348037,0.915247252086155,85.0,0.038908619433641434,0.7994220639271025
6,маркер каждые 3,1,26,0.3057295735646097,0.3215218161837442,0.5838586111436963,0.020781680941581726,0.5451639915205115,37.0,18.407960199004975,0.2758996192529258,0.30692277173707705,0.29149347755767335,0.8547872301460762,1.0830716649102767,80.0,0.03866998478770256,0.7903120457809151
6,маркер каждые 3,2,21,0.30423834614185374,0.3215762941428733,0.6201402820333649,0.018544021993875504,0.5694711059678877,43.0,21.393034825870647,0.2887873540389086,0.30501089574700097,0.2995023138650734,0.8338950317588367,0.9215611925128566,80.0,0.03737089782953262,0.7853193405316925
7,исходный,0,27,0.30596861236911127,0.3328014755094228,0.5842249075929771,0.014224823564291,0.47910072643818574,,,,,,,,,,
7,исходный,1,33,0.29431392234420434,0.3232455382107657,0.5821994926625749,0.01641841046512127,0.4741722868168312,,,,,,,,,,
7,исходный,2,34,0.29023262562547386,0.3186374769796829,0.5698207434617797,0.015162740834057331,0.4793776504568707,,,,,,,,,,
7,маркер каждые 3,0,20,0.316077150569389,0.34486032857395044,0.5922046757445599,0.04093587026000023,0.6243415816598974,44.0,21.890547263681594,0.29787944372936553,0.3170349246136008,0.31559212852026175,0.7993921955184182,0.812711048802551,62.5,0.01680266112089157,0.7682620764293269
7,маркер каждые 3,1,24,0.34523091247175136,0.3507795760421732,0.5992810143078587,0.04540227726101875,0.6388582834286243,43.0,21.393034825870647,0.3101477867314988,0.3467562657648057,0.3259802703035483,0.8197032198433687,0.7912546377543452,60.0,0.016188213601708412,0.7729195986595716
7,маркер каждые 3,2,20,0.34220191337696326,0.34529779515856057,0.6242893278711529,0.04770778492093086,0.633666425734172,44.0,21.890547263681594,0.30301498288106055,0.3442643834030634,0.32378194935671806,0.8148811751614823,0.8111234039193416,72.5,0.01744125969707966,0.7759522955798709
8,исходный,0,42,0.2469518462862271,0.27776743957132527,0.5096297241511464,0.010513746179640293,0.4795962522285894,,,,,,,,,,
8,исходный,1,42,0.259507637180123,0.27788351858980087,0.5213330397378318,0.013458906672894955,0.4810800499202256,,,,,,,,,,
8,исходный,2,48,0.23621458488060224,0.2584647243012449,0.4992760691678534,0.011997921392321587,0.4728759930871969,,,,,,,,,,
8,маркер каждые 3,0,34,0.30224101724973107,0.3288826044865272,0.5691679012685791,0.043175484985113144,0.6363131700619238,45.0,22.388059701492537,0.34529330861159374,0.30093640235997765,0.35081357135874947,0.8214959851079141,0.8362120528058713,70.0,0.01737583801150322,0.7500958562068408
8,маркер каждые 3,1,29,0.29663113152018594,0.3258021451364476,0.5909388567604221,0.045668505132198334,0.6342266946151549,48.0,23.88059701492537,0.3494545445577602,0.2947445810545583,0.3543570332622383,0.8137299319087036,0.8246818778656236,70.0,0.017247557640075684,0.7513099031235547
8,маркер каждые 3,2,32,0.2749107344621873,0.3105598574841384,0.5753249752096184,0.048443615436553955,0.6319058252735502,37.0,18.407960199004975,0.3523816373308805,0.2724116730793262,0.34808916379678523,0.8100893409049116,0.9313131462656604,70.0,0.015716729685664177,0.7619346206594414
9,исходный,0,30,0.2604024286486979,0.3350397611909083,0.49788644222127126,0.011680652387440205,0.5068169863772571,,,,,,,,,,
9,исходный,1,31,0.2808097010745123,0.31948627552626524,0.5410665401454402,0.012617526575922966,0.5063786257440447,,,,,,,,,,
9,исходный,2,27,0.2947085094434446,0.35041437955374255,0.5260572160749446,0.01300536934286356,0.5097775382719717,,,,,,,,,,
9,маркер каждые 3,0,24,0.298721156112169,0.3671236845918631,0.5314113315358461,0.017476201057434082,0.6165214211105573,46.0,22.885572139303484,0.39140455879570174,0.2946914429520154,0.379070773556407,0.6230307438585648,0.7126798091005763,35.0,0.024979470297694206,0.7545600041124885
9,маркер каждые 3,1,24,0.2751127629978206,0.3585336528292066,0.5139854870519218,0.017541764304041862,0.6175800292709612,39.0,19.402985074626866,0.37568129070043055,0.2707402183150984,0.3872482453526325,0.597105684336873,0.8164531500532997,30.0,0.025318922474980354,0.7223075867492627
9,маркер каждые 3,2,26,0.29721214120601286,0.3689541928427855,0.5355534657932958,0.019924316555261612,0.6188742304079831,49.0,24.378109452736318,0.38488231630214387,0.2937053342021676,0.3813913826502199,0.6418798774528617,0.777621548293734,35.0,0.024978619068861008,0.7486429436834503
10,исходный,0,34,0.28831436696571067,0.3073950394719515,0.5603696615955642,0.014988869428634644,0.43737437413525604,,,,,,,,,,
10,исходный,1,26,0.30416019316065185,0.33666746230970973,0.5779854339902115,0.015305450186133385,0.447828951659939,,,,,,,,,,
10,исходный,2,30,0.2885720491339344,0.3256682793569458,0.5591429903566002,0.01637633889913559,0.44180452124254754,,,,,,,,,,
10,маркер каждые 3,0,26,0.3176804415642389,0.3331337392434834,0.56682277524042,0.015116874128580093,0.5286514025188672,30.0,14.925373134328357,0.2906439330258549,0.3187619019057743,0.32957763440941984,0.8293655065319727,0.8273551908179658,60.0,0.05029987171292305,0.7942348613820859
