токен,класс,в тексте,в выборке,до ближайшего,текст
set,подслово,3,2,0.27948273830706943,0
feas,подслово,1,1,0.8532362507262472,0
Ġdiameter,смысл-редк,1,1,0.7167516315487165,0
SR,подслово,2,2,0.31886844775997325,0
$-,пункт,5,4,0.2481485752500083,0
Ġcertain,смысл-част,1,1,0.6694969198477938,0
Ġmessage,смысл-редк,8,4,0.39953586985148676,0
d,подслово,3,3,0.3390506589202703,0
for,подслово,1,1,0.8119412517104109,0
k,подслово,11,6,0.27694993347537245,0
encoded,подслово,1,1,0.777867177550089,0
able,подслово,1,1,0.6594368712658114,0
Ġ(,пункт,4,3,0.4831180239750862,0
),пункт,10,6,0.28684070585031485,0
Ċ,пункт,24,10,0.26113700168605036,0
Ġwe,служ,2,2,0.17030919483938042,0
Ġbetween,служ,1,1,0.7261209604200947,0
",",пункт,20,9,0.2958125606545997,0
Ġ+,пункт,2,2,0.5063936518151602,0
k,подслово,11,6,0.28290657921612783,0
n,подслово,2,2,0.2616646290110462,0
vers,подслово,3,1,0.8527723825614529,0
Ġwhich,служ,3,1,0.803630938971068,0
strong,подслово,1,1,0.7991082068197473,0
Ġthe,сток,10,4,0.014774227840275614,0
$-,пункт,5,4,0.2481485752500083,0
fully,подслово,1,1,0.716001903851826,0
Ġ$,пункт,10,4,0.36198631865456016,0
k,подслово,11,6,0.48963790649655,0
$-,пункт,5,4,0.34274271631197956,0
Ġthis,служ,1,1,0.6875472579775982,0
k,подслово,11,6,0.29378002012536586,0
.,пункт,5,3,0.37266589272441897,0
Ġmost,служ,3,2,0.32046915769546674,0
Ċ,пункт,24,10,0.28399369741490654,0
wide,подслово,1,1,0.7344813068794482,0
",",пункт,20,9,0.2939426929756821,0
isc,подслово,1,1,0.7202893150225314,0
Ġ$,пункт,10,4,0.23370790053160523,0
Ġ+,пункт,2,2,0.5063936518151602,0
Cs,подслово,2,2,0.3666891941226824,0
Ġdistributed,смысл-редк,1,1,0.6637686990698983,0
Ġwhere,служ,3,2,0.47572190542417236,0
Ċ,пункт,24,10,0.2723995555280603,0
Ġdynamic,смысл-редк,3,3,0.25501788357873606,0
Ġadversary,смысл-редк,5,2,0.3173887343544827,0
Ġ$,пункт,10,4,0.23370790053160523,0
),пункт,10,6,0.28684070585031485,0
Ġis,служ,7,4,0.4195428450950717,0
Ġa,служ,10,5,0.19942922391099407,0
Ġagainst,служ,2,2,0.5138955576718702,0
Ġnetwork,смысл-част,2,2,0.376345713631001,0
Ġvalues,смысл-редк,1,1,0.7087354558502366,0
Ġconsensus,смысл-редк,3,2,0.45508739677074306,0
"$,",пункт,1,1,0.632888870183057,0
ĠOn,служ,1,1,0.8444216765813481,0
",",пункт,20,9,0.284488685482306,0
SRC,подслово,6,3,0.20430837001556487,0
ability,подслово,1,1,0.6780123373421696,0
SR,подслово,2,2,0.31886844775997325,0
message,подслово,1,1,0.6457905842982234,0
Ġthe,служ,10,4,0.40011449608118405,0
Ġas,служ,1,1,0.7468849788919114,0
k,подслово,11,6,0.27694993347537245,0
Ġconsensus,смысл-редк,3,2,0.45508739677074306,0
Ġmeans,смысл-част,1,1,0.7667578409379695,0
Ġomn,смысл-редк,1,1,0.7215693163332402,0
Ġgeneral,смысл-част,1,1,0.6423151414712628,0
Ġworks,смысл-част,1,1,0.7274793149158668,0
Ġin,служ,5,3,0.2061422685931839,0
Ġthe,сток,10,4,0.014774227840275614,0
Ġof,служ,5,2,0.4018016834449149,0
Ġand,служ,1,1,0.7864076725873683,0
),пункт,10,6,0.3240798337233568,0
Ġcomponents,смысл-редк,2,1,0.6947822937615292,0
Ċ,пункт,24,10,0.2015109675637141,0
Ċ,пункт,24,10,0.19683105467225354,0
),пункт,10,6,0.4453166514593437,0
Ġprocesses,смысл-редк,2,2,0.2946140566956817,0
Ġa,служ,10,5,0.4018584385517969,0
Ġan,служ,2,1,0.6030946702124143,0
Ġtowards,служ,1,1,0.7050426676465067,0
(,пункт,8,2,0.28499234635569975,0
Ġ(,пункт,4,3,0.4831180239750862,0
poss,подслово,1,1,0.8509330700784782,0
Ġagreement,смысл-редк,3,2,0.28626081917024965,0
SRC,подслово,6,3,0.2251844941337231,0
$-,пункт,5,4,0.28989968856067166,0
Ġthe,служ,10,4,0.40011449608118405,0
Ġthere,служ,2,1,0.7163486261094131,0
Ġborder,смысл-редк,1,1,0.7280463876094548,0
Ġsystem,смысл-част,1,1,0.7029869981701017,0
set,подслово,3,2,0.27948273830706943,0
Ġagainst,служ,2,2,0.5138955576718702,0
Ġor,служ,1,1,0.827978989515125,0
Ġa,служ,10,5,0.4018584385517969,0
Ġmessage,смысл-редк,8,4,0.3368402733472684,0
Ġof,служ,5,2,0.4018016834449149,0
ĠV,смысл-част,6,2,0.49235703271930836,0
Ġprocesses,смысл-редк,2,2,0.2946140566956817,0
ĠH,смысл-част,1,1,0.7285925334693323,0
