mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,arm,genre,text,L_used,seed
q0.5_range,0.0,5.193773290467008,0.29610661234082913,0.8074617538976017,3.1821725590101027,0.9988923812820556,0.014251405980086123,0.02701036967862347,0.010976961182358365,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
q0.5_range,0.2,9.220612799420959,0.6676138358421239,0.8915473383653201,3.011661672171717,0.9995347655612126,0.010194861776849876,0.016561672395871696,0.007852460461821314,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
q0.5_range,0.4,19.162321608091133,1.212158375515876,0.9478142565158828,2.837222374909011,0.9999272221196672,0.004285867106673066,0.0063082064274437855,0.0033011337217138553,8,45,228,fixed_L_mean,xsum,xsum_1,228,0
q_small,0.0,14.285263646944134,2.35971418288779,0.9299977918003692,3.512545349402407,0.9990732757592444,0.014986354363962626,0.029044453523608738,0.011563329008454713,8,20,100,scaled_L,xsum,xsum_1,100,0
q_small,0.2,21.888218029540486,2.0588168178109663,0.9543133205887115,3.265898322389417,0.9998783505264646,0.005566752581195195,0.009899696736512809,0.0042973120879440255,8,25,125,scaled_L,xsum,xsum_1,125,0
q_small,0.4,20.79880165073425,1.154752902307499,0.9519203069103408,3.0257929367416763,0.9999528203788871,0.0034626374139527364,0.005119069854256253,0.002669392500090396,8,33,167,scaled_L,xsum,xsum_1,167,0
q_small,0.6,20.27982629035687,1.4992155196339694,0.9506899129370007,2.6590531576600958,0.999911792323043,0.004697243589620945,0.006941043749451481,0.003645319577244264,8,50,250,scaled_L,xsum,xsum_1,250,0
q_small,0.8,19.04902951080924,1.0972727844487025,0.947503887301316,2.031901829246025,0.9999388916571736,0.003908035661609582,0.006297074995057272,0.003023910258574157,8,100,501,scaled_L,xsum,xsum_1,501,0
q_large,0.0,14.285263646944134,2.35971418288779,0.9299977918003692,3.512545349402407,0.9990732757592444,0.014986354363962626,0.029044453523608738,0.011563329008454713,8,20,100,scaled_L,xsum,xsum_1,100,0
q_large,0.2,11.33926158033339,0.9527021363552167,0.9118108359247676,3.2992526201746926,0.9996039546666627,0.009598262326973223,0.016423367613582762,0.007409477629793276,8,25,125,scaled_L,xsum,xsum_1,125,0
q_large,0.4,7.38564613677463,0.5732983294910186,0.8646022322920676,3.154734996922554,0.9991141890559135,0.013633214447167613,0.017959834192130764,0.010510023443618347,8,33,167,scaled_L,xsum,xsum_1,167,0
q_large,0.6,4.991849235233347,0.42799429931360966,0.7996734370617957,2.912757654659641,0.997239704361096,0.022132095647552707,0.03991148983242088,0.017175724445658777,8,50,250,scaled_L,xsum,xsum_1,250,0
q_large,0.8,3.312277216572208,0.19061272722237713,0.6980929026722966,2.4582561700247614,0.9962973652919064,0.022453712636876826,0.042949458475900926,0.01737394892598376,8,100,501,scaled_L,xsum,xsum_1,501,0
q0.5_range,0.0,5.659508438278059,0.2962210966227371,0.8233062092042297,3.1066905187471123,0.9992434860891496,0.011966672806957962,0.026193986509411182,0.009248228719290765,8,40,200,scaled_L,xsum,xsum_1,200,0
q0.5_range,0.2,10.26097599844811,0.8271472955435422,0.9025433837725337,2.963816592940695,0.9995456100535194,0.010177057313596683,0.018060802257531705,0.00785607300490376,8,40,201,scaled_L,xsum,xsum_1,201,0
q0.5_range,0.4,19.495294067917527,1.1700246910610395,0.9487055698407929,2.8343142725183115,0.9999368269558824,0.003983366812205103,0.006667964757755662,0.0030784736865776957,8,40,200,scaled_L,xsum,xsum_1,200,0
q_small,0.0,14.876527553614606,1.5218462942498945,0.9327800122443879,3.501101250127665,0.9996740233494569,0.008912114634323648,0.022278278695962328,0.00687650319583791,8,20,100,fixed_L_small,xsum,xsum_1,100,1
