текст,условие,"радиус, абс","каркас: парная, абс","каркас: ребро MST, абс","каркас: до ближайшего, абс","облако: парная, абс",r / ребро каркаса,норма вектора
13,чужие хапаксы,8.510391553243002,30.218707525901724,22.404111333635168,22.032514542969228,32.44380930665529,0.379949839309061,38.18742752075195
13,без пунктуации,8.982439041137695,29.31020444448774,22.619345526852822,22.286364258021706,30.559536124828444,0.397197627748575,37.141178131103516
14,исходный,8.668747266133627,30.913277348181726,23.791390387098584,23.33032841981947,31.797042738209015,0.364334646584442,38.5568593343099
14,перемешивание,8.500364303588867,26.943998356904988,20.76834944527203,20.465017811179603,28.609292894239008,0.4092658147443669,38.046408335367836
14,эхо x4,5.668364365895589,33.95897768739374,26.548090221791625,26.00203763287121,34.060805767799906,0.21353642128105768,37.322191874186196
14,чужие хапаксы,7.870492935180664,27.96902303885135,21.161253017618016,20.871802604011382,29.69617587237295,0.37194077389049934,38.293277740478516
14,без пунктуации,8.189138412475586,27.046245439708077,21.092569769916455,20.716674714008732,27.767559747921293,0.3882749776275827,37.62419128417969
15,исходный,7.638546625773112,30.86646458678072,23.403304606046323,23.056673210436937,31.62522100045633,0.32640984856431854,37.646498362223305
15,перемешивание,8.027689615885416,27.192709191336263,20.897993330963626,20.57749481991122,28.164622667751132,0.3841415677453435,37.06727854410807
15,эхо x4,5.896000385284424,33.10421338248198,26.120473794002194,25.649228708957597,33.62236778221733,0.22571628108270414,37.007328033447266
15,чужие хапаксы,7.945267518361409,29.92451185936851,22.637328241074027,22.26696852450188,30.63360886571799,0.3510183979115951,37.45175043741862
15,без пунктуации,7.8518937428792315,27.426005055083397,21.08341553952576,20.80390987389728,28.09838484809065,0.3724166394035038,37.30260721842448
16,исходный,8.500243186950684,29.13439826199928,22.764795398693025,22.433249158029355,30.408279840921754,0.37337881997052613,37.776268005371094
16,перемешивание,8.886150042215982,27.590527558511457,21.6791740953596,21.34814632522018,29.215865882149263,0.40988244872349483,37.232688903808594
