текст,условие,стоков,норма стока,норма прочих,косинус стока с общим,разброс внутри стока,сток → облако,масштаб,сток: проекция на ось,сток: смещение,прочие: проекция на ось,прочие: смещение
26,исходный,4,26.181456,37.702976,0.9973509311676025,0.03812836441603076,0.9372720736955695,34.194377023842755,0.15648461647870276,0.9562915781880302,-0.008855746037005202,0.47426916275456155
26,чужие хапаксы,6,26.257904,37.814384,0.9992613196372986,0.06855693546302818,1.05506009846339,31.86751070011909,0.1512694844086573,1.058224976384196,0.10025441212179309,0.4973424179914405
27,исходный,5,26.285807,38.148518,0.9999195337295532,0.049238109465180965,0.9606102998766034,34.59367545700747,0.15600957260424414,1.0499230655488654,-0.04565275496269347,0.47849333368591346
27,чужие хапаксы,5,26.243551,38.015495,0.9991273283958435,0.0297095714495088,1.025065945806636,32.893142203219824,0.1617721015681246,0.9993912758821254,0.14335214429239365,0.551754381076327
27,перемешивание,6,26.37191,37.75232,0.9998911023139954,0.06827376395069042,0.9860421705413285,33.35829818836542,0.1706789458388817,1.1430053021631015,0.28945051847100084,0.6547709570490096
28,исходный,7,26.347393,37.66163,0.9994356036186218,0.07298439824205835,0.8905906314174132,35.30863064407394,0.13973365563002477,0.9117731779617851,-0.0011725626063901326,0.4694386348172698
28,чужие хапаксы,7,26.295929,37.433167,0.9998864531517029,0.045358654443658566,0.9119329479490995,34.62431138716385,0.1458797202632335,0.9108599638179641,0.05769088638934585,0.4765293957044194
28,перемешивание,3,27.309341,37.470016,0.9650009870529175,0.2874155526845632,0.8538294261141492,33.18212511877565,0.16817627633284143,0.9397150303924862,0.1881325015025502,0.6125247523426552
29,исходный,3,26.457777,38.05857,0.9993265867233276,0.07832083630677887,1.0281548329415957,33.1905559593052,0.146639667145514,0.9970317231655216,-0.0302728985099996,0.4407364639199973
29,перемешивание,3,26.731222,37.502903,0.9948874711990356,0.10398997260176399,1.06203528648174,31.844699206203117,0.1849582034470864,1.1301189022309497,0.34474949907166175,0.6724371557508614
30,исходный,6,26.399094,37.814064,0.997238278388977,0.10588041185019482,0.8835554583421614,35.303709539171855,0.16531295821234943,1.0962665064861519,-0.060023951403766894,0.46681056228514983
30,чужие хапаксы,6,26.476038,38.19241,0.9985600709915161,0.07897524176629216,0.9426977964981097,35.100387468052844,0.15578937542421506,0.9211030445294358,0.037918341307040936,0.5075805689940058
30,перемешивание,4,26.53719,38.096535,0.998129665851593,0.08379592267723246,1.0441287708845564,32.69745562855375,0.1529488888009261,1.0253199165977496,0.3473037053253163,0.7010429673788646
31,исходный,4,26.175995,37.65208,0.9981071949005127,0.021666947561078096,1.0808457615292624,31.128687039155572,0.16541607341765174,1.0615513780260935,-0.011466599269486259,0.4703231769972507
31,перемешивание,4,26.19905,37.245567,0.9979919791221619,0.03343476485148002,1.0722649348366597,30.78404118822504,0.20367569163329388,1.2527880789260661,0.3332001134854079,0.6691834875378964
32,исходный,3,26.521399,37.92436,0.9983083605766296,0.06618689833362496,0.9144090636040194,35.51609816445714,0.15085772391194585,0.8595235344996899,0.0004639322490305222,0.44245605135566146
32,перемешивание,3,26.181068,37.388752,0.9983152151107788,0.036948951745739145,1.01667269710308,31.98800546112438,0.16324566814500122,0.9287454785184506,0.2123220388200393,0.6263928490614498
33,исходный,4,26.524113,38.032536,0.9890658855438232,0.11291377431333771,0.9216980945121606,34.67538839528188,0.15284528648215173,0.9788170318781259,-0.0023580482896587707,0.5020101873248375
33,чужие хапаксы,6,26.388891,38.077644,0.9992345571517944,0.04107656051258069,1.0208327394784622,33.27485319206065,0.15356090035656259,1.071869085721941,0.07119758313921508,0.4960298246868019
33,перемешивание,3,26.174524,38.240105,0.9975618720054626,0.019645680866885545,0.9914812391284578,33.69465619509319,0.15421586166672013,1.0134043961129846,0.2544380073168063,0.6505508107892358
34,исходный,5,26.222513,37.56707,0.9994955658912659,0.04306593450225014,0.9021863531887446,34.896733213214,0.16558189983776017,0.9442829092939273,0.03341439009756309,0.44517902246560337
34,чужие хапаксы,9,26.435392,37.584965,0.9992841482162476,0.05633546859226887,0.9620774233747309,33.801865745672806,0.16494665773085115,0.9521387669726789,0.13885214069145563,0.508182283105492
35,исходный,4,26.458176,37.38407,0.9997397065162659,0.10445476909812383,1.1037600921619548,30.662655438805665,0.16849930040971256,1.1475710694453767,0.05283407074007121,0.4937349616153532
35,чужие хапаксы,5,26.258717,37.348263,0.9995837807655334,0.08584391514020936,1.172077132991693,29.08467077763909,0.17019319897240306,1.0971318122791789,0.21069268241555925,0.5761826071292921
35,перемешивание,7,26.251722,37.135693,0.9997219443321228,0.04049331813916157,1.1556557708854869,29.24530077365099,0.18284843265222647,1.1494816206598284,0.3379400268985069,0.6862982638082865
36,исходный,3,26.589111,38.16798,0.9975113868713379,0.10773999043784684,1.1178306798304078,31.476876018328724,0.2083893085092283,1.3060090543632834,-0.05329972969504374,0.45357888968734394
36,чужие хапаксы,5,26.195093,38.351532,0.9989364147186279,0.03942249074648695,1.1441179940272286,30.759756571287593,0.17677761404987702,1.2289910913066944,0.14213894934167767,0.5358110871723727
36,перемешивание,3,26.85666,37.73113,0.990895688533783,0.11951738764028576,1.1528850183497203,30.446113590184613,0.2128082656047685,1.2696608531464724,0.31911544480356346,0.6652160195318043
37,исходный,5,26.36413,37.97039,0.9997773170471191,0.09166321366282058,1.050342422249218,32.14368786037129,0.1630412922195421,1.095450848456361,-0.01587189158863479,0.45064112438132786
37,чужие хапаксы,6,26.77674,38.087795,0.9932681322097778,0.19554419485968064,1.0522533790154633,31.103910230952376,0.14839144977148522,1.06702948668649,0.0961745948238004,0.5234463737283787
37,перемешивание,5,26.173893,37.627422,0.9985592365264893,0.026493648115444652,1.2065793299232916,28.6736255783257,0.20360454209885304,1.4130978484097856,0.3273962377978034,0.7036440276975644
