согласие,текст,условие,токен,класс,k,logp,PMI,смещение,cos дом,до центра,черешок,лист,длинный лист
,0,исходный,ee,подслово,1,-0.8311472535133362,8.783841226250454,0.6309065738540436,0.8258829116821289,0.6319777461007081,0.7667096199238896,0,0
,0,исходный,Ġensuring,смысл-редк,1,-5.679582595825195,5.167549565231226,,,0.6611179835255001,0.653070906675883,1,0
,0,исходный,Ġdiameter,смысл-редк,1,-9.491194725036621,1.9155532239552233,,,0.6718952763099002,0.7533587587244719,0,0
0.29615795612335205,0,исходный,",",пункт,10,-0.07401712983846664,3.313529293523045,0.36716376444179283,0.955614447593689,0.7267132042928266,0.703240797591932,0,0
,0,исходный,Ġdirected,смысл-редк,1,-0.6401626467704773,9.061837209982942,0.49726232881672705,0.8834142088890076,0.6757760338617492,0.7682705674912929,0,0
,0,исходный,infty,подслово,1,-2.629671335220337,9.06475868622329,,,0.8674497816439337,0.9169824798969591,1,1
0.8099543452262878,0,исходный,Ċ,пункт,16,-0.010383394546806812,4.393753744450223,0.42893277439372995,0.9361379742622375,0.651672716333745,0.19805852784323102,1,0
0.2530769109725952,0,исходный,",",пункт,10,-1.9055677652359009,1.4819786581256107,0.4228325643964885,0.9360522627830505,0.6993331986211383,0.7413601715922233,0,0
,0,исходный,H,подслово,1,-3.0149450302124023,5.603710010003695,0.6167489255681853,0.8283306956291199,0.6937183117858841,0.7250982039026226,0,0
-0.5800064206123352,0,исходный,Ġthe,служ,4,-0.015474489890038967,3.2257676701132616,0.8882347156171381,0.42999643087387085,0.9722160134104754,1.0277624768953346,0,0
,0,исходный,Ġprocesses,смысл-редк,1,-1.9314384460449219,8.028390520010598,0.33792602829539176,0.9483272433280945,0.7062484682301907,0.7169202002014285,1,0
-0.19954463839530945,0,исходный,Ġdynamic,смысл-редк,2,-10.598135948181152,-0.29000028785741705,0.34309982908634257,0.947064995765686,0.647090162184116,0.7466260798658122,0,0
,0,исходный,isc,подслово,1,-0.028691990301012993,10.199400962349186,0.7006418062431566,0.8044922351837158,0.7475270965858057,0.7260691498492188,1,0
0.8239165544509888,0,исходный,(,пункт,3,-0.06784305721521378,7.675343245646984,0.35770724520073666,0.9525929093360901,0.7519828509920417,0.1939332857058917,1,0
