согласие,текст,условие,токен,класс,k,logp,PMI,смещение,cos дом,до центра,черешок,лист,длинный лист
,0,исходный,ens,подслово,1,-1.5816417932510376,7.745664614060971,0.7317478395095532,0.7733120918273926,0.7843987484544902,0.831928213118337,1,1
0.4462840259075165,0,исходный,Ġlinks,смысл-редк,2,-1.6344326734542847,7.6928737338577236,0.4863729724753282,0.8924160003662109,0.6434398717334343,0.7206603017068522,0,0
0.2954346835613251,0,исходный,),пункт,3,-8.039546966552734,-2.334078361998972,0.39153607448849526,0.9474397301673889,0.8108952683465365,0.8442116346380903,0,0
,0,исходный,Ġsol,смысл-редк,1,-1.6513571739196777,8.656778486404058,0.6029809865837557,0.8361150622367859,0.7052584021256966,0.8684449843311778,0,0
0.48564785718917847,0,исходный,Ġof,служ,3,-0.010282989591360092,3.895106630194789,0.4060375671235548,0.9407734870910645,0.643226368381721,0.6384554765177216,0,0
0.6089791655540466,0,исходный,Ċ,пункт,16,-1.4703155755996704,2.933821563397359,0.43040056709900804,0.9341504573822021,0.643897036213668,0.3380563325121622,1,0
0.2692079544067383,0,исходный,",",пункт,10,-7.762630939483643,-4.375084516122131,0.3725748863740943,0.9535053968429565,0.7389003731429549,0.26413349386124524,1,0
0.265468955039978,0,исходный,Ġthe,служ,4,-0.12681546807289124,3.1144266919304093,0.5494652120016749,0.901559054851532,0.6515226699707298,0.38695135800353214,1,0
,0,исходный,Cs,подслово,1,-0.011648142710328102,10.584169590065189,0.40032946534180613,0.9293690919876099,0.6731116970914516,0.7649316416463366,1,0
,0,исходный,Ġwhere,служ,1,-11.209062576293945,-4.116463839572896,0.5243096279545121,0.8912340402603149,0.745759725207511,0.7914413221259036,1,1
,0,исходный,stable,подслово,1,-3.66896915435791,7.737778794633934,,,0.7163417849212876,0.7565204793079616,1,0
0.6164352297782898,0,исходный,k,подслово,5,-0.10740820318460464,8.142339324657128,0.4514732565259127,0.9031016230583191,0.6940530745318423,0.509071441736832,0,0
,0,исходный,Ġpower,смысл-част,1,-4.383447170257568,4.092107026317857,0.6217176477651482,0.8267409801483154,0.698614838092915,0.7879865796357687,1,1
0.23186925053596497,0,исходный,",",пункт,10,-0.22952969372272491,3.1580167296387867,0.6635032466263298,0.8387667536735535,0.8103483159399,0.35650900212118336,0,0
0.813452959060669,0,исходный,Ċ,пункт,16,-0.11809545755386353,4.286041681443166,0.40899545672320786,0.9394932985305786,0.6302917093325898,0.8024746320743857,0,0
0.7814399600028992,0,исходный,Ċ,пункт,16,-0.003070523263886571,4.401066615733143,0.44323866985705535,0.9332876801490784,0.6714565035041586,0.22190928706315005,0,0
,0,исходный,Ġcertain,смысл-част,1,-6.0153093338012695,2.4736678831062964,0.41139157205432786,0.9273667931556702,0.624538085300623,0.730649178791348,0,0
,0,исходный,Ġvertex,смысл-редк,1,-3.911506414413452,6.483640622899912,0.5455520691099592,0.8659424185752869,0.7156016056984805,0.7682705674912929,1,0
0.7822784781455994,0,исходный,ĠWe,служ,2,-0.07986599951982498,7.129680001810211,0.3693490038032698,0.9444795250892639,0.6558821251123887,0.8820840280660683,0,0
,0,исходный,Ġimposs,смысл-редк,1,-0.010367467068135738,12.7826748430436,,,0.7920350630908378,0.8684449843311778,1,1
,0,исходный,Ġsynchronous,смысл-редк,1,-6.529516220092773,6.263526090018962,,,0.6452267771262519,0.7722697042495386,0,0
,0,исходный,aries,подслово,1,-0.011579092592000961,10.584238640183516,,,0.6873885485594998,0.5902831305342761,1,0
0.5822021961212158,0,исходный,Ġa,служ,5,-0.25357943773269653,3.766233086346566,0.49004708071564723,0.9065167903900146,0.6714564463871572,0.40716524655070185,1,0
,0,исходный,of,подслово,1,-1.1945204734802246,7.2810337230952005,0.5138161495507069,0.8980604410171509,0.7351963927108365,0.6384554765177216,1,0
0.465280145406723,0,исходный,k,подслово,5,-0.2371297925710678,8.012617735270664,0.4054378386075061,0.9247599244117737,0.6593949920573929,0.7482872472374261,0,0
0.5898173451423645,0,исходный,Ġin,служ,4,-0.19286490976810455,4.206508695212891,0.45459238742088054,0.9162068963050842,0.5815380076359421,0.5947880245645647,0,0
,0,исходный,Ġ-,пункт,1,-4.038368225097656,2.6543551329940156,0.5421907906870116,0.8730942010879517,0.6349185291584034,0.8050334182720621,0,0
-0.435573548078537,0,исходный,SRC,подслово,2,-17.489234924316406,-6.487952083432726,0.15807944090270176,0.9889102578163147,0.8522436936780192,0.7911733736007163,0,0
,0,исходный,Ġsmall,смысл-част,1,-4.4820556640625,3.540302021583571,0.46577955180824876,0.9044042825698853,0.6598147449016255,0.8168637738476974,0,0
,0,исходный,J,подслово,1,-0.0047770896926522255,9.492428354414754,,,0.7396612287203154,0.8150959313128413,0,0
,0,исходный,v,подслово,1,-0.01602989062666893,8.948371022995971,0.6684564329988769,0.8102536201477051,0.7490622302358859,0.7879504231112817,0,0
,0,исходный,Ġtowards,служ,1,-0.705069899559021,8.216771399644824,0.3960473751787175,0.9394274353981018,0.6771013196482139,0.7661522407396963,1,0
,0,исходный,Ġcausal,смысл-редк,1,-5.891090393066406,5.80333962837722,,,0.767742631170773,0.6847497207382806,1,0
,0,исходный,values,подслово,1,-9.095396995544434,3.004498134007356,,,0.7301480494137429,0.903317376726996,0,0
0.7822344899177551,0,исходный,Ġ$,пункт,4,-0.042937446385622025,7.787260233466206,0.4280747056797681,0.9281079769134521,0.7924194605111243,0.2706840964668501,1,0
,0,исходный,Ġmuch,служ,1,-7.276619911193848,-0.12193227041585786,0.40314016442852035,0.9303825497627258,0.6257966584293024,0.8669165515997936,0,0
,0,исходный,Ġvalues,смысл-редк,1,-16.02180290222168,-6.89232223823959,0.437497097512411,0.9141049385070801,0.5860798373634813,0.819488550319087,0,0
0.2320077121257782,0,исходный,",",пункт,10,-0.0729835107922554,3.314562912569256,0.625094176427504,0.8565297722816467,0.7817760499783069,0.703240797591932,0,0
,0,исходный,Ġgraph,смысл-редк,1,-3.7046117782592773,5.721134701865983,0.36983424128975473,0.935711681842804,0.7101078069064666,0.6866173910666981,1,0
0.45427238941192627,0,исходный,ing,подслово,2,-0.038199424743652344,7.041110079858714,0.5060605174981664,0.8982220888137817,0.6190354333733722,0.7889261975949472,0,0
