токен,класс,норма,лог_ранг,степень,черешок,отн_черешок,лист,длинный лист,hapax в тексте,один в выборке,текст
gu,подслово,36.785454,9.193499354780156,3,26.52511228921825,1.3719697555286883,False,False,True,True,0
(,пункт,38.527805,5.365976015021851,1,5.719443263535047,0.2958292161206774,True,False,False,False,0
Ġto,служ,40.298885,1.3862943611198906,1,16.747079589339087,0.8662163778791754,True,False,False,False,0
Ġto,служ,40.191814,1.3862943611198906,2,17.224324609409575,0.8909011266702119,False,False,False,False,0
ĠWe,служ,37.47606,4.844187086458591,2,13.181135013450868,0.6817734976882843,False,False,False,False,0
Ġguarantees,смысл-редк,37.285355,9.192787212728593,2,27.104247046943602,1.4019245909054865,False,False,False,True,0
Ġa,служ,38.744835,1.9459101490553132,1,13.429424121352701,0.6946158616697924,True,False,False,False,0
$,пункт,39.374226,6.089044875446846,3,27.090726205863596,1.4012252466452695,False,False,False,False,0
Ġthe,служ,39.781086,0.0,3,24.91202735973376,1.2885354721137443,False,False,False,False,0
Ġmessage,смысл-редк,36.183937,7.563719668414366,1,6.333006490974357,0.3275648099976341,True,False,False,False,0
Ġintroduce,смысл-редк,37.26998,8.133880887949207,2,24.23146133489906,1.2533342638197789,False,False,True,True,0
Ġ+,пункт,37.458096,7.664815785285735,1,27.03086128394347,1.3981288276218187,True,True,False,True,0
),пункт,40.80593,3.4011973816621555,1,11.937375689831056,0.6174420009331582,True,False,False,False,0
),пункт,40.261543,3.4011973816621555,1,13.228073133888385,0.6842012982163075,True,False,False,False,0
Ġdynamic,смысл-редк,35.53751,8.133587417660966,2,22.866334168791496,1.182725206111418,False,False,False,False,0
algorithm,подслово,35.38123,9.686885061765299,3,25.740115983270137,1.3313670550304015,False,False,True,True,0
v,подслово,37.969822,6.777646593635117,2,27.398266123787163,1.4171322656772083,False,False,True,True,0
Ċ,пункт,39.016964,2.1972245773362196,3,7.469005382162232,0.38632256770399453,False,False,False,False,0
),пункт,40.452858,3.4011973816621555,3,18.13708169726756,0.9381120528684251,False,False,False,False,0
",",пункт,40.467567,0.6931471805599453,3,23.492225516804346,1.215098452654459,False,False,False,False,0
ĠV,смысл-част,36.221294,5.54907608489522,2,25.990946891114916,1.3443408896201507,False,False,False,False,0
Ġdynamic,смысл-редк,34.84589,8.133587417660966,2,20.477760991539395,1.0591800115680199,False,False,False,False,0
Ġconnected,смысл-редк,37.778496,8.38662882139512,1,27.988781428421454,1.447675741961166,True,True,True,True,0
(,пункт,38.20591,5.365976015021851,2,12.44932953922193,0.6439220093844803,False,False,False,False,0
ĠOur,служ,35.928577,6.984716320118266,2,17.49932691591653,0.9051251888764079,False,False,False,False,0
Ġdiameter,смысл-редк,37.003326,9.008958312443486,2,24.899676055771227,1.2878966203232913,False,False,True,True,0
$,пункт,38.57531,6.089044875446846,2,28.27520712137157,1.4624906608821175,False,False,False,False,0
Ġpresent,смысл-част,36.86403,6.843749949006225,1,24.290338065015256,1.2563795701748695,True,False,True,True,0
Ġin,служ,40.05307,2.0794415416798357,1,12.282872164775057,0.6353122632376694,True,False,False,False,0
Ġavailability,смысл-редк,37.434837,9.686698766859926,3,25.55387550156519,1.3217340587449102,False,False,True,True,0
k,подслово,35.088985,5.950642552587727,2,27.423638170518075,1.4184445949284898,False,False,False,False,0
Ġvalues,смысл-редк,35.962006,6.957497370876951,5,23.81490037101473,1.2317883024850371,False,False,True,True,0
Ġmessage,смысл-редк,35.976498,7.563719668414366,4,26.267774386368995,1.3586593568464604,False,False,False,False,0
Ġgeneral,смысл-част,36.119205,6.311734809152915,1,23.98052130408967,1.240354785016145,True,False,True,True,0
fully,подслово,38.172756,8.001689978099135,3,28.317152202958805,1.4646602043209314,False,False,True,True,0
Ġactual,смысл-редк,37.674515,6.930494765951626,1,25.38851769229278,1.3131811858790545,True,False,True,True,0
Ġdeal,смысл-част,37.775593,6.3578422665081,1,29.260396539444717,1.513448035551279,True,True,True,True,0
Ġa,служ,38.858387,1.9459101490553132,2,13.429424121352701,0.6946158616697924,False,False,False,False,0
Ġin,служ,37.836166,2.0794415416798357,5,27.821716808200474,1.4390345869808254,False,False,False,False,0
