mode,q,d_hat,набор,текст,условие
q_small,0.7,15.800663179176423,механические,0,все слова разные
q_small,0.75,15.819801953427127,механические,0,все слова разные
q_small,0.8,15.79979234607417,механические,0,все слова разные
q_small,0.85,15.807831914171178,механические,0,все слова разные
q_small,0.9,15.867578407583146,механические,0,все слова разные
q0.5_range,0.0,4.039231354846431,механические,0,чужие хапаксы
q0.5_range,0.05,4.405668763373009,механические,0,чужие хапаксы
q0.5_range,0.1,4.843994004841264,механические,0,чужие хапаксы
q0.5_range,0.15,5.418562939800813,механические,0,чужие хапаксы
q0.5_range,0.2,6.229305385514984,механические,0,чужие хапаксы
q0.5_range,0.25,7.317534242740145,механические,0,чужие хапаксы
q0.5_range,0.3,8.659376235820957,механические,0,чужие хапаксы
q0.5_range,0.35,10.053178891192438,механические,0,чужие хапаксы
q0.5_range,0.4,11.17520323263207,механические,0,чужие хапаксы
q0.5_range,0.45,12.008002901238907,механические,0,чужие хапаксы
q0.5_range,0.5,12.794537844161276,механические,0,чужие хапаксы
q_large,0.0,6.862531470011416,механические,0,чужие хапаксы
q_large,0.05,6.578731190559356,механические,0,чужие хапаксы
q_large,0.1,6.310932161905174,механические,0,чужие хапаксы
q_large,0.15,6.044426120717506,механические,0,чужие хапаксы
q_large,0.2,5.779031613158848,механические,0,чужие хапаксы
q_large,0.25,5.507570052568525,механические,0,чужие хапаксы
q_large,0.3,5.229605678055244,механические,0,чужие хапаксы
q_large,0.35,4.945641294064848,механические,0,чужие хапаксы
q_large,0.4,4.653927115342036,механические,0,чужие хапаксы
q_large,0.45,4.351862474619649,механические,0,чужие хапаксы
q_large,0.5,4.039231354846431,механические,0,чужие хапаксы
q_large,0.55,3.719050591848486,механические,0,чужие хапаксы
q_large,0.6,3.406184585549651,механические,0,чужие хапаксы
q_large,0.65,3.153976446619483,механические,0,чужие хапаксы
q_large,0.7,3.0185503284578132,механические,0,чужие хапаксы
q_large,0.75,2.998120794734358,механические,0,чужие хапаксы
q_large,0.8,3.078026684305204,механические,0,чужие хапаксы
q_large,0.85,3.2372651658464724,механические,0,чужие хапаксы
q_large,0.9,3.3720265624107375,механические,0,чужие хапаксы
q_small,0.0,6.862531470011416,механические,0,чужие хапаксы
q_small,0.05,7.004484852008645,механические,0,чужие хапаксы
q_small,0.1,7.235734119295654,механические,0,чужие хапаксы
q_small,0.15,7.6049308432908465,механические,0,чужие хапаксы
q_small,0.2,8.191048860706939,механические,0,чужие хапаксы
q_small,0.25,9.006642625646894,механические,0,чужие хапаксы
q_small,0.3,10.01842231777469,механические,0,чужие хапаксы
q_small,0.35,11.059749863920299,механические,0,чужие хапаксы
q_small,0.4,11.849539090846283,механические,0,чужие хапаксы
q_small,0.45,12.376293116226805,механические,0,чужие хапаксы
q_small,0.5,12.794537844161276,механические,0,чужие хапаксы
q_small,0.55,13.171213109336763,механические,0,чужие хапаксы
q_small,0.6,13.533202605690766,механические,0,чужие хапаксы
q_small,0.65,13.896869749483457,механические,0,чужие хапаксы
q_small,0.7,14.259031859746504,механические,0,чужие хапаксы
q_small,0.75,14.622190343336591,механические,0,чужие хапаксы
q_small,0.8,15.02720916247339,механические,0,чужие хапаксы
q_small,0.85,15.535759593459954,механические,0,чужие хапаксы
q_small,0.9,16.083721332459596,механические,0,чужие хапаксы
q0.5_range,0.0,4.206634045560859,механические,0,хапаксы одного домена
q0.5_range,0.05,4.56092989308852,механические,0,хапаксы одного домена
q0.5_range,0.1,4.984872603109816,механические,0,хапаксы одного домена
q0.5_range,0.15,5.533585085171631,механические,0,хапаксы одного домена
q0.5_range,0.2,6.336156239227105,механические,0,хапаксы одного домена
q0.5_range,0.25,7.448169590988826,механические,0,хапаксы одного домена
q0.5_range,0.3,8.856264560331711,механические,0,хапаксы одного домена
q0.5_range,0.35,10.377402995065843,механические,0,хапаксы одного домена
q0.5_range,0.4,11.575867924274666,механические,0,хапаксы одного домена
q0.5_range,0.45,12.377860296168619,механические,0,хапаксы одного домена
q0.5_range,0.5,13.03794406701554,механические,0,хапаксы одного домена
q_large,0.0,7.1152762933329115,механические,0,хапаксы одного домена
