mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,arm,text
q_small,0.0,8.597102033312934,0.19274282163592366,0.8836817341326069,3.7034916691681805,0.9999477501675408,0.0029857063496695818,0.005905459915571676,0.0026077986144872395,8,61,261,aligned_floor,xsum_1
q_small,0.05,8.846388003307203,0.22651127360898193,0.8869595139139101,3.6706288754542116,0.9999361101867188,0.003313835119353369,0.005698630593851561,0.0028943953694057127,8,61,261,aligned_floor,xsum_1
q_small,0.1,9.127722143479968,0.2954471062441948,0.8904436414385914,3.6265389285415073,0.9999048504173635,0.004060018005226132,0.007582930468887916,0.003546132167349163,8,61,261,aligned_floor,xsum_1
q_small,0.15,9.636289899638843,0.3796132099540573,0.8962256210206504,3.5646523510536934,0.9998751738628227,0.0046805258104244294,0.009041673134889905,0.0040881008692791815,8,61,261,aligned_floor,xsum_1
q_small,0.2,10.554889381652202,0.46119418688297253,0.9052571785604573,3.4802376606694234,0.9998745398766492,0.004739685157624377,0.009085750396293335,0.00413977228153279,8,61,261,aligned_floor,xsum_1
q_small,0.25,11.868068882869931,0.512186614015262,0.9157402935667677,3.381362181024278,0.9999053976924606,0.004163332999705597,0.007535593756345271,0.003636370344820675,8,61,261,aligned_floor,xsum_1
q_small,0.3,13.290424094704901,0.5274561449812513,0.924757856267475,3.2820974483851044,0.9999374416368682,0.0034188631637514046,0.005710454921992181,0.002986129772118763,8,61,261,aligned_floor,xsum_1
q_small,0.35,14.918845396433174,0.8389361792967622,0.9329706841630598,3.1801462622576513,0.9999020758705347,0.00431550414953175,0.008872715953128107,0.0037692808414358197,8,61,261,aligned_floor,xsum_1
q_small,0.4,15.831063668955037,0.5444293811035975,0.936833050456299,3.090306824112991,0.9999677406539189,0.0024871066290433883,0.0033330333219314667,0.0021723078098484622,8,61,261,aligned_floor,xsum_1
q_small,0.45,16.829651913810743,0.579113329379197,0.9405810645923472,2.9940945673063935,0.9999716486944576,0.0023409187243406556,0.0034075148923253806,0.0020446232452291826,8,61,261,aligned_floor,xsum_1
q_small,0.5,17.606435240204522,0.6386354601849414,0.9432025855116607,2.894678451985593,0.9999713747573493,0.002358757006712288,0.0036704275518202323,0.002060203695081099,8,61,261,aligned_floor,xsum_1
q_small,0.55,18.209301214182272,0.7128220417436832,0.9450830106966899,2.78882551594605,0.999968955335105,0.0024613172869113126,0.0039582378855707034,0.002149782684198377,8,61,261,aligned_floor,xsum_1
q_small,0.6,18.712881949529685,0.7781395944439379,0.9465608770099074,2.6728954610788693,0.9999669332047769,0.0025441880011746847,0.00419486210469433,0.0022221642611279053,8,61,261,aligned_floor,xsum_1
q_small,0.65,19.189485242428923,0.8440338041796118,0.9478881279322204,2.5426967509699283,0.9999649176862616,0.0026242562026932374,0.004315838942654082,0.0022920980458109416,8,61,261,aligned_floor,xsum_1
q_small,0.7,20.95481618915071,2.7093980214613023,0.9522782738357902,2.3801279869645677,0.9997481602335465,0.007064446483640784,0.016970215620736973,0.006170283207588871,8,61,261,aligned_floor,xsum_1
q_small,0.75,20.43246784510311,0.9998169194050494,0.9510582858820129,2.21388747726035,0.9999619567047355,0.0027419016634804044,0.0037939235328101617,0.0023948528494356983,8,61,261,aligned_floor,xsum_1
q_small,0.8,21.487828649351975,1.107300372117082,0.9534620265119176,1.992956644009997,0.9999620432755877,0.002745702145479641,0.0037247016196788607,0.0023981722956676055,8,61,261,aligned_floor,xsum_1
q_small,0.85,22.731949526146273,1.2713915899235229,0.9560090524198199,1.7090378762789058,0.9999602605439238,0.0028169491645283454,0.0038749855103894504,0.002460401415280162,8,61,261,aligned_floor,xsum_1
q_small,0.9,24.06401041360562,1.6264887242520065,0.9584441669193009,1.3114913599125382,0.9999484741314217,0.0032157929934435304,0.0053621367426330835,0.0028087626613742095,8,61,261,aligned_floor,xsum_1
q_small,0.0,8.597102033312934,0.19274282163592366,0.8836817341326069,3.7034916691681805,0.9999477501675408,0.0029857063496695818,0.005905459915571676,0.0026077986144872395,8,61,261,aligned_round,xsum_1
q_small,0.05,8.846388003307203,0.22651127360898193,0.8869595139139101,3.6706288754542116,0.9999361101867188,0.003313835119353369,0.005698630593851561,0.0028943953694057127,8,61,261,aligned_round,xsum_1
q_small,0.1,9.127722143479968,0.2954471062441948,0.8904436414385914,3.6265389285415073,0.9999048504173635,0.004060018005226132,0.007582930468887916,0.003546132167349163,8,61,261,aligned_round,xsum_1
q_small,0.15,9.636289899638843,0.3796132099540573,0.8962256210206504,3.5646523510536934,0.9998751738628227,0.0046805258104244294,0.009041673134889905,0.0040881008692791815,8,61,261,aligned_round,xsum_1
q_small,0.2,10.554889381652202,0.46119418688297253,0.9052571785604573,3.4802376606694234,0.9998745398766492,0.004739685157624377,0.009085750396293335,0.00413977228153279,8,61,261,aligned_round,xsum_1
q_small,0.25,11.868068882869931,0.512186614015262,0.9157402935667677,3.381362181024278,0.9999053976924606,0.004163332999705597,0.007535593756345271,0.003636370344820675,8,61,261,aligned_round,xsum_1
q_small,0.3,13.290424094704901,0.5274561449812513,0.924757856267475,3.2820974483851044,0.9999374416368682,0.0034188631637514046,0.005710454921992181,0.002986129772118763,8,61,261,aligned_round,xsum_1
