n,rep,"одиночек, %","длинных с одиночкой, %",средняя длина,S(q=0.5),S(q=0.7),S(q=0.9),текст
101,2,64.35643564356435,90.0,23.499073966517305,1338.1063177208625,838.6409753108928,302.1145845544196,6
121,2,63.63636363636363,91.66666666666666,22.552922895254323,1579.6331081363328,990.1591703058359,354.9414707190215,6
161,2,54.037267080745345,84.375,21.214910203912375,2071.581737327282,1298.2704252136773,466.0214719492825,6
201,2,53.233830845771145,87.5,21.14333106245289,2550.0840669709196,1592.9436868790372,567.5718831643444,6
41,3,87.8048780487805,100.0,25.54595793152047,555.5847741414941,344.0920533073976,118.13313817015553,6
61,3,70.49180327868852,100.0,24.292311566408667,818.5853769672993,513.0647093463319,187.5820076088009,6
81,3,60.49382716049383,75.0,23.091456524454106,1067.7972594691641,667.9733918479185,247.47535690028917,6
101,3,60.396039603960396,80.0,22.454226814725565,1337.051005009417,836.7439984439093,300.42443738895,6
121,3,64.46280991735537,83.33333333333334,22.76568409283794,1601.380109000772,1002.5486912393824,357.78489245842775,6
161,3,52.17391304347826,81.25,21.343148717883402,2071.547543922389,1298.1503849999888,466.9967978933436,6
201,3,55.72139303482587,95.0,21.201013451773523,2556.0859598757465,1603.5396292439573,577.0629263581145,6
41,4,56.09756097560976,100.0,23.588427972939606,558.1567205191636,348.2005266497097,123.54386499332739,6
61,4,83.60655737704919,100.0,25.260542349735,834.4025910472548,514.4195061784758,178.174437257239,6
81,4,70.37037037037037,100.0,23.778445825557696,1093.2219143224852,680.0520453789941,247.38356471098956,6
101,4,65.34653465346535,95.0,23.55840074765389,1370.1544589301109,859.303394207817,311.8143961978198,6
121,4,62.8099173553719,87.5,22.976672977373347,1576.5918523689306,976.7834774465853,343.99765324461794,6
161,4,59.62732919254658,93.75,22.316350931589774,2105.1501778151433,1311.5904070874183,465.7966198503452,6
201,4,49.25373134328358,90.0,20.94230370621756,2545.166454667704,1594.4321948575334,567.1708458773116,6
41,5,70.73170731707317,87.5,25.648912689356564,580.6847972538475,361.91766304759545,128.63364192072922,6
61,5,68.85245901639344,100.0,24.06331028048289,823.2519276590449,514.1218737286939,186.00197740965734,6
81,5,61.72839506172839,75.0,23.483722018008653,1085.53757734853,679.2221127056521,245.06142121750577,6
101,5,75.24752475247524,85.0,23.78261612470202,1331.4532821462014,832.741146139348,291.6173464595459,6
121,5,61.98347107438017,79.16666666666666,22.13441868942662,1577.1734262659947,983.4279833479756,347.67719108274673,6
161,5,50.931677018633536,84.375,21.453201428114724,2074.6125005307667,1297.0572591482314,459.3245108400405,6
201,5,53.233830845771145,87.5,20.90377803670195,2571.6090521709702,1613.6991857107205,575.7854088058775,6
41,6,85.36585365853658,100.0,26.69647989421791,593.63658038781,374.24805510083274,133.28625199535003,6
61,6,55.73770491803278,91.66666666666666,21.856178820795396,797.1081614020974,499.11841539432373,177.9209848018633,6
81,6,70.37037037037037,87.5,23.82423928498585,1100.5684359127947,688.6564307948797,249.06621321330204,6
101,6,62.37623762376238,100.0,23.385946037570967,1342.9184474744047,835.0188279902063,302.0986506544664,6
121,6,57.85123966942148,83.33333333333334,22.486259488972564,1633.1494996219608,1027.504607594658,369.97182102491104,6
161,6,51.5527950310559,84.375,21.08958389386197,2075.440363141265,1310.4003392108043,472.4068089038092,6
201,6,48.258706467661696,85.0,20.27194002923533,2521.2545075429935,1577.598765843562,557.3023776017473,6
41,7,80.48780487804879,100.0,25.625394988581036,576.8730863038577,355.99330936595277,125.18701146842058,6
61,7,75.40983606557377,100.0,24.997029605636744,864.0495640538335,542.219120564409,194.37961817162267,6
81,7,67.90123456790124,87.5,24.00386271047207,1097.1804979282224,682.3859871180456,242.41710700085622,6
101,7,57.42574257425742,85.0,22.68668458184463,1330.4945429417178,829.084569778136,295.0056599111765,6
121,7,57.85123966942148,83.33333333333334,21.995595833920483,1575.6841347752184,992.3610330956328,351.9874631862908,6
161,7,52.17391304347826,84.375,22.054851401847497,2084.0257063454956,1298.6258716409689,465.0856682321279,6
201,7,49.25373134328358,82.5,20.756303903084444,2513.900296367249,1577.1254245842413,567.53841618304,6
41,0,53.65853658536586,75.0,23.833223717801012,570.1125304238369,354.34985891467807,125.77923309404817,9
61,0,57.377049180327866,100.0,23.39752675968282,832.9651741025148,523.0289763953717,184.0368925120745,9
81,0,49.382716049382715,87.5,22.287563972763927,1097.7002406058123,689.6109988468249,249.2256522675101,9
101,0,51.48514851485149,85.0,21.63566516884558,1344.2359597992704,833.363810533827,295.7910671630394,9
121,0,45.45454545454545,91.66666666666666,21.212313780248685,1573.5275846953787,984.213544328285,349.87123323850176,9
161,0,35.40372670807454,81.25,20.23080125452294,2060.771941679727,1294.2034177562718,464.91328665547246,9
201,0,32.83582089552239,90.0,19.388265535599597,2504.048769705487,1586.3271307499144,575.0639207562624,9
41,1,65.85365853658537,87.5,24.580322653171102,570.8079100328887,359.84305533039367,128.61750992469186,9
61,1,44.26229508196721,91.66666666666666,22.99252638812823,846.2936375927662,527.4291554190922,190.71145550469242,9
81,1,46.913580246913575,93.75,22.675055643865953,1090.7355947528245,687.3388935993863,246.99886449569829,9
101,1,32.67326732673268,90.0,20.320545575838977,1312.4320575035374,836.9139174270646,304.5801555232365,9
121,1,40.49586776859504,91.66666666666666,21.736578796410807,1604.6549243391846,1001.7529343495361,358.69423473127165,9
161,1,36.024844720496894,81.25,20.122277493675995,2075.2094808486245,1297.9257744356091,469.5646178137139,9
201,1,30.845771144278604,75.0,18.832566596320472,2486.253943743215,1594.70496892677,580.5673944148982,9
41,2,41.46341463414634,87.5,22.923570418324427,554.1905707695296,348.7064110127134,124.62196745841261,9
61,2,62.295081967213115,100.0,24.069324750106794,855.4277798237731,533.2337733768711,185.86369349825685,9
81,2,51.85185185185185,87.5,22.900938543818995,1106.7984427754884,693.0142001330058,245.09586656940937,9
101,2,34.65346534653465,60.0,20.941975507393355,1298.3558469153668,815.2125903345527,301.7432469324351,9
121,2,42.14876033057851,83.33333333333334,21.729116088431503,1610.1149891661275,1009.1753063692533,357.942785266267,9
161,2,36.024844720496894,81.25,20.19025122771807,2065.8624171502106,1307.4523160565382,473.30447236787455,9
201,2,33.33333333333333,92.5,19.61079557008919,2523.5336199269477,1596.6584394276495,574.1317173974797,9
41,3,53.65853658536586,100.0,22.682071437935427,548.9918569718873,341.1942221204514,121.2481537072762,9
61,3,45.90163934426229,91.66666666666666,23.05793688554319,825.6378672029464,520.4978337839646,185.80963419787844,9
81,3,49.382716049382715,93.75,22.5576019291962,1102.7136470510104,692.10755100248,252.53380516820738,9
