текст,зерно,исходный: крупный,исходный: мелкий,исходный: средний,маркер: крупный,маркер: мелкий,маркер: средний,маркер без маркера: крупный,маркер без маркера: мелкий,маркер без маркера: средний
35,0,15.510709603129861,4.014584952205792,15.405992739757409,19.094219404444022,5.479678893891588,13.29836630837907,20.68009952721514,4.40492915724025,16.367285667935267
35,1,16.591959864451535,3.995615366411905,16.44264571046102,20.955413693280477,6.085689846913254,14.10819096858286,20.222247523205375,3.771127518381014,16.171626737621175
35,2,16.943732976487233,3.7714392862456956,16.355368124870246,20.5894000793556,7.084854328428993,14.442320532734069,20.62920955315462,4.346408769380491,16.28503685728491
36,0,19.594237006725393,3.7415711322929472,16.21570227765691,17.951877385178218,4.967314242853357,12.390251618437222,18.75843032847644,3.3655554359173334,16.50385490868306
36,1,20.342565738053917,3.571242703814026,16.522792910777223,19.351716453662895,5.698182200781512,13.609595741058016,19.31269868424305,3.9490485287890604,17.543253778263832
36,2,20.953010654475218,3.593469951574529,17.43921554044343,18.305731828892835,5.3667477528650265,12.221141878977344,21.39106841230692,3.4499310440820077,18.034582718121737
37,0,16.29138729096838,3.8558609780178137,11.328075703036482,15.260207404278155,5.956701257871707,8.765195241054759,15.316863697768687,3.4958120737233727,10.999708501622965
37,1,14.475863494079018,3.783370410812148,10.5624401045356,15.348260632454318,5.935714925147545,8.51691804477964,16.776370871613018,3.425879379233902,12.048167482698735
37,2,15.016013914485534,3.8528776683825354,10.960974589337814,15.272824940320236,5.974750236730311,8.921961757946686,16.38500518001128,3.514867814670932,11.615417315579952
38,0,16.20737838404522,3.6342789042114547,13.153616846107088,14.941960341185567,6.326985924309902,9.869915849780622,16.350120041297142,4.270207956619443,12.597246893125376
38,1,15.396636481507109,3.7480942208499743,12.501144767714308,15.998207661859121,6.086252802275566,10.760622363746783,16.546161091305155,4.337298680091826,12.708524995497275
38,2,15.36709445790048,3.709898967117783,12.556801033272233,15.432444477116187,6.626606588074922,10.103821697979983,16.59381477556283,4.190202562096368,12.866195148154356
39,0,14.454670794129933,3.9372257151171395,13.977112821843738,16.771459719214395,7.005191596324461,13.568795184851282,15.872131536294766,4.169944373751167,15.337596232284955
39,1,14.844287547870383,3.7456973967677905,14.236687919665616,16.128489387907504,6.603594525971276,13.026304549947422,14.701193634344568,4.48813584411556,14.332595262105059
39,2,13.844562364630685,3.4271996290093334,13.783401034614064,15.054911491943143,7.086523066249251,12.846126193505077,14.555539811805561,4.2979182215446325,14.196015603068327
40,0,22.716485471481388,3.7851490123615323,19.183247827176455,19.4852289485581,6.959545886191381,14.172486461843835,22.647943877898527,4.71533137084202,18.629991797430762
40,1,19.165552429120186,3.979034820751981,17.442163012864274,21.699268646288065,7.13471221781099,14.681481297059815,21.763543977749716,4.518603230122201,17.801587452886572
40,2,23.50915734594453,4.052505371445689,19.563680051591433,20.52859721208002,5.943680212397344,14.006614711492166,22.637328314957074,5.1188224476206114,19.145322699366783
41,0,15.604791942003382,4.227183043269635,15.66093145224771,19.21761195230173,6.930991991557671,14.139626212049174,18.992905839428314,4.639075065297216,17.744680196354857
41,1,16.91727009614195,3.857776322917625,16.507623189694602,18.588897055807436,6.563161108446571,13.766173142223394,20.05077236249865,4.9757122702739505,18.487900895254764
41,2,16.31301164611387,3.4603127169173282,15.752639743990319,18.430146408894714,7.959642227033692,13.467508962014113,19.12081751945077,5.005569136087885,17.72788138383688
42,0,15.348204920403454,3.5786701473338107,13.31141442702653,16.68196538717832,9.162445664712825,11.983630020934616,17.273125497711888,3.9928728785516476,14.200311575634771
