mode,q,mean_d,cv_within,cv_between,rel_resid,rel_dse,variant
q_large,0.3,6.781767625863155,0.10544044828013581,0.13069181624927828,0.00886952125532916,0.08099326936337325,grid_more_small
q_large,0.5,5.0702554584562,0.11626533178924588,0.14166655079604043,0.013676562647895182,0.08659070499389633,grid_more_small
q_large,0.6,4.233646465603625,0.11810691792255798,0.1435424186537338,0.01840830556486437,0.09181239445369363,grid_more_small
q_large,0.9,3.4105575398805255,0.20720607714004843,0.16606025727137913,0.05682257634618858,0.19980441220810516,grid_more_small
q_small,0.0,9.01435013901237,0.09319292293589342,0.1216251909874237,0.005883524540494361,0.07521244613237385,grid_more_small
q_small,0.3,14.101748146307143,0.10894740337300439,0.15140171143882705,0.0040828851617565574,0.08566298920496118,grid_more_small
q_small,0.5,18.716340029226163,0.09806943115671295,0.14950018362064413,0.003084310288194071,0.08990825124080054,grid_more_small
q_small,0.6,19.703998138940786,0.10510764671540719,0.16772078643614352,0.0031484683048175516,0.09676066169664106,grid_more_small
q_small,0.9,21.274105733879672,0.18861471737057742,0.27938441789078833,0.0046596942493040165,0.15473464070377935,grid_more_small
q0.5_range,0.0,5.0663910280700595,0.11694327251098909,0.13717403241055215,0.011595108616461628,0.07255133914347661,grid_more_large
q0.5_range,0.3,12.72442636986163,0.12370992125568002,0.16673962786130897,0.004769330418708602,0.08337444721448532,grid_more_large
q0.5_range,0.5,19.053970567817387,0.12252989003364023,0.15623174795045336,0.0021447648960624495,0.06034178036033443,grid_more_large
q_large,0.0,9.033037613261373,0.0982589381676525,0.12053312788746937,0.004629097834447523,0.0580191134804123,grid_more_large
q_large,0.3,6.790210778498673,0.10846931090900365,0.12787340439517125,0.007259264936200042,0.06536038449737182,grid_more_large
q_large,0.5,5.0663910280700595,0.11694327251098909,0.13717403241055215,0.011595108616461628,0.07255133914347661,grid_more_large
q_large,0.6,4.217891890627558,0.11947558567555687,0.13876286521971404,0.015406771837815032,0.07613251079782683,grid_more_large
