текст,seed,сырой: крупный,сырой: мелкий,сырой: средний,нормированный: крупный,нормированный: мелкий,нормированный: средний,без стоков: крупный,без стоков: мелкий,без стоков: средний,без стоков + норм.: крупный,без стоков + норм.: мелкий,без стоков + норм.: средний
7,1,17.035467350823843,4.03283196898818,16.549912545881725,16.280259969851095,3.971564970013795,17.271886044001654,22.773434131328035,4.550029966212242,17.634904419029567,23.856532515667784,4.384732249479224,18.499758451058973
7,2,18.453960825036646,4.156768571972301,16.707514652718107,17.008555111272322,4.111712483468589,17.48150920156018,20.53086545480899,4.297080183900472,16.865131461737157,22.905763789093275,4.190570699788493,18.123730987570237
7,3,16.07794449002371,3.6399323144242532,15.371177052250284,14.818575527896298,3.5730574603512077,15.85074567478182,21.58158853717759,4.256722267635766,17.007523236995652,22.80289032799262,4.1472785795834435,18.06789134673938
7,4,16.948099777825483,3.6633982815445476,15.584228890756037,15.018560387306978,3.6448040455340363,15.994544055753092,24.2614146789497,5.104093736207035,18.730588655350857,25.69633709837281,4.993211841187187,20.12029223481777
7,5,17.8169163301746,3.9183596671235725,16.75545567977893,16.51421493957631,3.8647699574752363,17.605267605221215,20.598141762535516,4.6342934489692285,17.101577469492646,22.005311587115692,4.458881647604562,17.917793723510194
8,0,16.485864704546007,2.952573659383497,13.545476762779979,15.508950074591205,2.9828613625074456,13.509004749269796,16.727229656967356,3.164966072095481,12.94763768441616,16.265155762424996,3.185271720897155,12.905823186638264
8,1,15.312893798415852,2.7924543633291283,12.635551353288175,13.765340818204855,2.803945204540764,12.528358881341806,16.8940715835166,2.9269113458296543,13.218512131836558,16.69114753528207,2.9337887832597285,13.341343161775603
8,2,13.42100635847169,2.680889509879083,11.565778710302444,12.447707297680603,2.6966887765287835,11.522901492586826,16.706518262936346,3.0785921961962583,13.406123211168648,16.669097908871837,3.1128910125852913,13.716506383536625
8,3,15.954574363686996,2.803373602323609,13.113864707243854,14.78948554524112,2.8288421772062335,13.275702370274226,15.15621231326542,2.853312952963176,12.399106191482566,15.519255219499293,2.8592023690336794,12.608143917299374
8,4,15.958437055325966,2.6375817912741786,12.54517414533745,15.408670386907621,2.675684326744092,12.687057003568473,16.857824561573096,3.1039722110998094,13.232398290888858,16.588022706648466,3.107679565619086,13.335422081972709
8,5,15.449316684635598,2.9680465252729014,12.383440909892645,14.546218555003435,3.020697417623087,12.3112744570141,16.141086150431754,3.0402229684892523,13.124722536394739,15.884802061128287,3.0720304983685938,13.265023798171313
9,0,15.855773155492646,4.065187781826668,10.490584756367486,14.978822365345167,4.062404227816428,10.398683251279646,19.02134998428316,4.616980875030483,11.45914210871385,20.673838596148876,4.491941261377715,11.407729757764987
9,1,15.63749952941786,3.47070158116247,9.538213763835268,15.213510387194718,3.4758031641679032,9.391226998721878,18.30448696501869,4.013714825194694,10.840396438567677,19.716413697871168,3.988911175192917,10.772282560371156
9,2,18.18946545733876,3.9034917950744394,11.480237041153991,17.344791786918833,3.887208499780005,11.295705334044218,18.382639282968487,4.77651130226024,11.901441212428681,19.531611498208136,4.705242847344501,11.867546360194018
9,3,16.9185687772762,3.46322256944357,10.47261073521144,15.908107314766475,3.4473718236136213,10.517285229246514,17.906763725889775,4.494023232379003,10.340823218026838,19.393608432874846,4.460843648020067,10.32584900284653
9,4,16.88036065936376,3.851727054320545,10.473460340462164,16.174603166354373,3.8229523599763775,10.347774828237496,19.06593612695469,4.411640352343264,11.012741419668423,20.51013054369032,4.386039681415327,11.055224967734793
9,5,17.194415023321845,3.8133083016666958,10.87710565089711,15.569213634893153,3.8113692665534455,10.649763615152605,17.51808546708534,4.519808621779498,10.77863051799935,18.44727501618397,4.466008625809538,10.824285588049653
10,0,15.195778315181563,3.758859275181901,14.26005044487653,15.413904774662045,3.6287429805904496,14.882498833979122,18.98772448601517,4.5478900852852675,15.418487512956442,22.653025987723005,4.329059975774306,16.25421544524515
10,1,16.005097017250215,3.7907655396320767,14.477522404830324,16.04260354370447,3.6723932314182606,14.919406989129362,16.701144434712237,4.236970801662732,14.366834187146756,19.565573830787844,4.064836263210566,15.114454822204475
10,2,16.063526984227774,3.660694857763418,14.662336107481929,15.856598136226687,3.569649663539022,15.399299047960465,17.87356236493199,4.162587480497806,14.838563358083212,20.567006915250477,4.008695059371025,15.815679746932357
10,3,15.066997396576982,3.36729376665593,13.720007233109072,15.368049268991964,3.2642762602103343,14.34103686776912,17.924862848640796,4.582389888987332,15.773527152283842,20.48534784268857,4.370412060849043,16.620510703999077
10,4,16.02561479365115,3.774298060485713,15.04441358586937,15.894408681931278,3.6638137845657277,15.529974293633504,17.645459914306414,4.552004989868522,14.592794376055817,21.367045834855848,4.4084738131343935,15.617789250977268
10,5,15.668762495611851,3.7218519036954723,14.368368579355282,16.397875492932933,3.663657730172489,14.960244164939741,18.116688052391975,4.415265131920653,15.273282566047573,21.71697049134775,4.242574194023005,16.475267329045984
11,0,15.618813556518909,3.375838867706903,11.650696752357721,14.742992113019435,3.366199993184252,12.094779987395063,21.488081755037605,3.6186781691673153,13.840809187779069,24.71768921307442,3.5476380391479685,14.950886296533946
11,1,17.63194429475115,3.2621843982604894,12.684966675092983,17.49314514999778,3.2395479096977415,13.652889522168403,19.622935264380327,4.110474630030348,13.831722564882716,21.23672884334739,4.059261982429161,15.177518684838796
11,2,17.035130897795213,3.4203044603214456,12.882110419178082,17.067659406374858,3.427142982464857,13.660538516638155,20.747122085450023,3.7503557910195093,12.937149207032501,23.0850422453007,3.723530695547471,13.860138821662037
11,3,18.46900068243929,3.6605970974249544,12.8398848200856,17.246028589880098,3.6556298916157823,13.365420473807912,20.08242318127271,3.9582469238659477,13.861783027921206,21.50762402993806,3.9177898203762678,14.735920737008962
11,4,20.001386021986278,3.643241989957779,13.71657746000233,18.444314093670098,3.666068030257711,14.029667570169192,20.6293451348446,4.059507137629714,14.31132425955163,21.921051346770994,4.018677118922747,15.049771503897407
11,5,18.422469402243802,3.4345424223754852,13.073485957313519,17.75857929632802,3.416387795235763,13.913901864415198,20.049519519217757,4.016371190865153,13.377377762457712,22.259594463190037,3.9811243124757256,14.071452524310555
12,0,16.619020504517135,3.278613610261346,11.596644937235977,14.201539397855319,3.3314277957315857,11.256459531536162,19.677923705139285,4.007467801451122,12.22771170599132,18.687198990242205,4.001361640372329,11.98556054319435
12,1,16.41899933041374,3.631238200029434,10.886476067653486,14.168011761662124,3.6426070012980114,10.482120040222863,19.050257027050023,4.049306923980115,11.72145212707632,18.295286129123387,4.054361090738801,11.488696909180003
12,2,16.96563025374527,3.3744900695985716,11.828336549415726,15.545569827076626,3.4170383142774923,11.61300010705657,18.119567196484677,3.8194585766177314,11.940970725995165,17.579786483726917,3.83414382818716,11.820635735349185
12,3,19.602094737278573,3.703884530503698,12.327165131425062,17.009952317207844,3.661614868297763,11.933778003840116,20.546062741051436,3.9829502053404338,12.967796437301098,20.188643231450303,3.9768138148521848,12.825788529298924
12,4,17.619436361152463,3.6423975584426964,12.21674700816186,15.324720677996302,3.647977945752889,11.958652544372658,18.137197773890442,4.2319528758590454,11.578724054177671,17.70023919919965,4.2315443560016295,11.386989604719343
12,5,16.36509306442119,3.7229546736448653,11.234769549331366,14.189801416363819,3.735296974148188,11.044672946824267,16.931489988446963,4.507235260170306,11.530146999329268,16.70043042100952,4.466532187354717,11.256806656504164
13,0,15.719715266836026,3.5609478375432313,13.601671752752694,17.20749817124501,3.395635365122265,14.862621554774467,17.08745343629882,3.781756437552031,14.121311455581113,21.999954699279154,3.5665338738156955,15.804492689907638
13,1,15.828702923361103,3.05292299492631,13.945131298673605,16.428871996127402,2.9901086567115414,15.03464929611771,17.329409538069292,3.833309643025688,15.311503265621758,22.509367615604546,3.624431351013441,16.63793484276865
13,2,15.927698785931097,3.4150053301231336,13.855247089644948,16.857039437951524,3.294996143796758,14.539543006971808,17.799934372210128,4.183803044887795,14.383919991917713,23.92447899474264,4.01239801682106,15.654673825011116
