perturbation,mode,q,n,d0,delta,rel,effect
ideas_up_v2,q_small,0.45,191,15.711651437018986,1.0812736882541438,0.07543406219398927,0.6447486550749437
ideas_up_v2,q_small,0.5,191,16.149253307337904,0.9295095210003437,0.06409418428834139,0.547432715592135
ideas_up_v2,q_small,0.55,191,16.472044920494547,0.8039732737142636,0.055690158387021675,0.4622800183717578
ideas_up_v2,q_small,0.6,191,16.721149090445554,0.6880377986002775,0.048706390324102296,0.38142158834373324
ideas_up_v2,q_small,0.65,191,16.913805578640147,0.573879376153055,0.042439544464772626,0.30288038084695956
ideas_up_v2,q_small,0.7,191,17.059854296994782,0.4583695468546866,0.0365700343454874,0.22819309036858046
ideas_up_v2,q_small,0.75,191,17.15300150541847,0.35868008280893815,0.03213269255369589,0.16629632978985193
ideas_up_v2,q_small,0.8,191,17.19823308796748,0.2693586384327593,0.029052683175084977,0.11481888541704165
ideas_up_v2,q_small,0.85,191,17.216312366703583,0.18597904776956153,0.026981897920308216,0.07158340940216228
ideas_up_v2,q_small,0.9,191,17.295239509379627,0.13784476978163485,0.028573064648358012,0.045697552542847145
