набор,текст,условие,d(x) среднее,d(x) разброс,"d(x) разброс, одиночки","d(x) разброс, повторные",d(x) одиночки,d(x) повторные,центров
механические,4,хапаксы одного домена,8.693764333294494,3.2651379432559295,3.4640333745994774,2.621931181407888,8.699120672808917,8.692467492929275,129.0
механические,4,20 чужих хапаксов,9.988327298348532,2.8709678128265828,2.9198205835353606,2.504297537866773,10.265457712795884,9.093246321837086,132.0
механические,4,маркер каждые 3,10.387090305734032,2.637434578333051,2.583306443031517,2.734295959841805,10.549771084295728,9.848618855611422,113.33333333333333
механические,4,без пунктуации,11.20594181333354,2.777479356264801,2.6549018680537375,2.827845803170574,11.576454686873959,10.27943729250651,134.66666666666666
механические,4,без служебных,9.602144585559929,3.2596976214221036,3.395110608727414,2.6828817760071053,9.858431275084904,8.861978480077232,137.66666666666666
механические,5,исходный,10.144736344038138,2.782452329979368,2.7341542787521953,2.5533518251810587,10.615900761426955,9.030057268468063,123.0
механические,5,перемешивание,10.652098539883129,2.6764549831512348,2.6872871247827503,2.5841305061955344,10.787399570899723,10.311450479145803,130.0
механические,5,эхо x2,10.906276429747729,2.3195394158613154,2.18081240719953,2.3311120672976116,11.413615896866565,10.386780080799172,107.66666666666667
механические,5,эхо x4,11.102371987256758,1.9837047172686895,1.8968507907480132,1.998370225557519,10.900721042371984,11.16098875759012,72.33333333333333
механические,5,эхо на четверти,11.072277334299926,2.64583878977416,2.481800526176412,2.799124115329244,11.395134552112447,10.486651955441525,116.0
механические,5,словарь к 25,8.498743136765173,2.5745043579980886,2.225772608143616,2.762247498547872,9.00529264227503,8.004367748628122,75.66666666666667
механические,5,словарь к 60,9.537173506836545,2.718201197384466,2.345751547693537,2.9647488445412833,10.142930677891146,8.622171653339777,96.33333333333333
механические,5,все слова разные,9.666928983737538,3.582085546838061,3.663861902004738,2.9103857812995635,9.396067093356768,10.854713329889199,141.0
механические,5,чужие хапаксы,9.001340758927611,3.4492569233812724,3.58236795541615,2.936583335253894,8.717557812412803,9.734392399528693,127.0
механические,5,хапаксы одного домена,9.272623145409979,3.3482952763196074,3.4516230017646694,2.8206296030440936,9.06513709398737,9.884045879101095,128.33333333333334
механические,5,20 чужих хапаксов,10.225585950981051,2.8510520142243956,2.8269671923047714,2.7343190433268987,10.50735451407097,9.431026845265833,124.0
механические,5,маркер каждые 3,10.388138503377204,2.8109253292722,2.7812784040010734,2.8365625655422373,10.486034343204173,10.154919747499093,106.66666666666667
механические,5,без пунктуации,11.128992627289458,2.578763686719641,2.51245593834478,2.68141862614509,11.269116940545743,10.740905466246794,132.0
механические,5,без служебных,9.877154128467806,2.8549516698553945,2.835717309667014,2.892782908866934,9.877142680289106,9.851223786986607,140.0
механические,6,исходный,10.945453182534584,3.0479463717378508,2.9991982583234815,2.9482361484131334,11.254803452785644,9.947635589089005,133.0
механические,6,перемешивание,11.046149902301153,3.0436810387046673,3.002456081083577,3.107999371032959,11.120990901806211,10.819787832253626,131.33333333333334
механические,6,эхо x2,11.776495265776163,2.854589820780589,2.648619939076842,2.8897986617267204,12.371542855703245,10.739741571496827,116.33333333333333
механические,6,эхо x4,11.709821740066523,2.3813215279194733,2.142006409594005,2.5041589988735087,12.173903931974573,11.268419935760114,92.66666666666667
механические,6,эхо на четверти,10.700568093195551,2.9752095202745377,2.9516317630190385,2.704689975493823,11.075497666077084,9.706944046787182,126.0
механические,6,словарь к 25,9.181510757802782,2.687806281110067,2.5368601940486672,2.7215602544402433,9.6434651597191,8.610336638265004,72.66666666666667
механические,6,словарь к 60,9.016167306746334,3.017665435230322,3.035610978121118,2.6947547117157744,9.640121232111643,8.026311123361126,85.66666666666667
механические,6,все слова разные,10.655547372260362,3.2028943316062706,3.275089776393372,2.606182447135154,10.630159361602876,10.759824988243553,144.33333333333334
механические,6,чужие хапаксы,9.438318712444195,3.549616369856029,3.700196151616024,2.8730921136777954,9.39456960413792,9.601414462249679,133.0
механические,6,хапаксы одного домена,9.974503908831052,3.1574722934229964,3.2622692501340236,2.7626077297278417,9.854752917068359,10.37447813395867,135.33333333333334
механические,6,20 чужих хапаксов,10.53588547093596,3.087571215182136,3.113535226981817,2.7061330617524177,10.857711753256572,9.53095374279015,129.33333333333334
механические,6,маркер каждые 3,10.646310533963927,3.0049869608826345,3.0872128545045676,2.5002456377581823,10.853048986592455,9.860457595742352,106.66666666666667
механические,6,без пунктуации,11.81881491064967,2.4748292747314493,2.4876394693493977,2.301266353658977,12.02344360824789,11.118386527525267,135.33333333333334
механические,6,без служебных,10.812317759408856,3.068216521806248,3.1599011632881884,2.446526352518014,11.032060328043677,9.95701394738116,145.66666666666666
механические,7,исходный,10.675946553604852,2.9899035902937405,2.9811666512751747,2.781534382707959,10.936656245491463,9.861525643797917,131.66666666666666
механические,7,перемешивание,10.671100166469662,3.0231301727315567,2.8653627549635488,3.3383058575300737,10.898936419836218,10.013794986918326,130.66666666666666
механические,7,эхо x2,10.49888611625839,2.6826207254161503,2.1593807564188716,2.8625492899456026,11.286160288546574,9.881236953557856,94.66666666666667
механические,7,эхо x4,10.235635112751588,2.2462350660141657,1.7562467531417698,2.287858594986415,10.921314042585992,10.145073744660253,60.0
механические,7,эхо на четверти,10.043085089543517,2.853299651128721,2.6789005470541265,3.121413072156267,10.14274118656725,9.872154050031972,109.66666666666667
механические,7,словарь к 25,8.676034262269624,2.487604482786192,2.3236344677854457,2.446235326939418,9.401547834694876,8.018348359610139,65.33333333333333
механические,7,словарь к 60,9.745600875485444,2.702749159144782,2.527545583078813,2.5242584371742898,10.602226713131722,8.710002802471271,87.33333333333333
механические,7,все слова разные,10.340421355141793,3.235171593177928,3.2991620787994873,2.4971330807961594,10.247789491156668,11.099992307836985,153.33333333333334
механические,7,чужие хапаксы,9.921125807313185,3.2474764395119937,3.3408326858164084,2.7887519606456377,9.90522966264964,9.989655816465097,134.0
механические,7,хапаксы одного домена,10.102269591393808,3.224558471433704,3.339426203187815,2.738624455960352,10.213998646355963,9.732601123458535,133.66666666666666
