текст,условие,S,C
18,все слова разные,0.1291187481649094,6.935181245323666
19,исходный,0.005921698296074511,4.329083978305044
19,чужие хапаксы,0.14416072321672846,6.947512775472508
19,хапаксы одного домена,0.09760202517754583,6.821514574824868
19,перемешивание,0.040386776179398086,2.3012004348179764
19,эхо x4,0.06870715195773129,0.10158763138364556
19,все слова разные,0.09596073636663553,7.177283191774691
20,исходный,0.07206730999204192,4.345699309015689
20,чужие хапаксы,0.1744726195027594,5.931578172016423
20,хапаксы одного домена,0.17540798373722202,6.804244596715286
20,перемешивание,0.062156501544847274,4.9913918055940725
20,эхо x4,0.03346329512391214,0.6244478724272735
20,все слова разные,0.17769884940719793,5.797724372264267
21,исходный,0.04351592098132088,5.053975747509273
21,чужие хапаксы,0.14106366815969315,7.638646894146256
21,хапаксы одного домена,0.07229012865993663,8.894807377853217
21,перемешивание,0.0935752773142408,5.168792664995322
21,эхо x4,0.0845215618899831,0.45483032480218416
21,все слова разные,0.10558493154397623,11.446195617127294
22,исходный,0.06503511371967856,3.9104819536389397
22,чужие хапаксы,0.17259677078921665,4.747311994257961
22,хапаксы одного домена,0.14750773164506617,4.939683995577684
22,перемешивание,0.05275697196365522,2.8634610656917503
22,эхо x4,0.050421810049692706,1.1519415004530547
22,все слова разные,0.0834043033049654,4.078384353478621
23,исходный,0.04304860833592453,4.315181030567825
23,чужие хапаксы,0.055257419227891215,9.182471402671352
23,хапаксы одного домена,0.06043408192571905,8.351569575814532
23,перемешивание,0.03130955508193015,4.557199762125541
23,эхо x4,0.05105006918464624,0.39149717501662096
23,все слова разные,0.0839068359633796,7.597577852984756
24,исходный,0.008682479746286035,5.322715439447564
24,чужие хапаксы,0.0740864997600111,7.398650015802462
24,хапаксы одного домена,0.09822575881521271,8.023789026875596
24,перемешивание,0.0011264257223622491,5.768658892690682
24,эхо x4,0.060574616698532736,0.42047586108443397
24,все слова разные,0.07150898870055829,9.835741459159864
25,исходный,0.10411246888241643,4.865561408653204
25,чужие хапаксы,0.10834475844184595,6.575546829940117
25,хапаксы одного домена,0.20559616751114126,8.978688031196603
25,перемешивание,0.056276944396053054,1.5851950970181974
25,эхо x4,0.036087832296039145,0.35725125868166735
25,все слова разные,0.12107221421613083,10.56188553433502
26,исходный,0.11944932197554421,2.4995656264539967
26,чужие хапаксы,0.11257250878520937,4.767190965688518
26,хапаксы одного домена,0.17743338799164052,3.648748153151032
26,перемешивание,0.11979845499322521,2.768616517683815
26,эхо x4,0.08562210123008666,0.18573905069115657
26,все слова разные,0.11413586174688213,9.24184596497667
27,исходный,0.07763862463646831,5.322966271959457
27,чужие хапаксы,0.09840039822883591,9.724352878871926
27,хапаксы одного домена,0.08420981238070809,8.82587239451063
27,перемешивание,0.04635193307869101,3.041640501094855
27,эхо x4,0.0692218240048803,0.17310195755506141
27,все слова разные,0.12195869280211831,9.83235251350341
28,исходный,0.05271000186254434,7.028776418545672
28,чужие хапаксы,0.1356828529356673,9.54561788718654
28,хапаксы одного домена,0.1380520650131013,9.430928133367182
28,перемешивание,0.05335688513605904,5.917041257608502
28,эхо x4,-0.01844962127719167,0.13404133968035567
28,все слова разные,0.1314442847545552,12.951013705242687
