текст,seed,токенов,стоков,"доля стоков, %",со стоками: крупный,со стоками: мелкий,со стоками: средний,без стоков: крупный,без стоков: мелкий,без стоков: средний
16,2,437,12,2.745995423340961,16.534707378433602,4.027307119350765,17.03637305629433,20.252956630314586,5.381740197793721,17.698495734117756
16,3,437,12,2.745995423340961,17.82104977846743,3.8279954869389847,16.48371897816388,19.399954657285654,5.160153535052175,17.324971913165076
16,4,437,12,2.745995423340961,17.183918024072113,4.069605967021136,16.373001327831776,21.8190480609061,4.98031435554575,18.966905163448576
16,5,437,12,2.745995423340961,16.81512109889116,3.789462313085067,16.431457102049528,21.01902653783378,4.894930580376445,18.10790289743775
17,0,354,6,1.694915254237288,16.83611912135355,3.557778221425562,13.942499043109589,18.72836608329288,3.667815000011104,14.050592384533525
17,1,354,6,1.694915254237288,17.208548601326054,3.3980085606205077,13.812752115499046,20.66418213133624,3.7846872427096847,14.97760397981142
17,2,354,6,1.694915254237288,17.962770915976517,3.422606212258354,14.311224855967131,20.9559413311574,3.625033836753533,15.593462143306278
17,3,354,6,1.694915254237288,18.02017298911924,3.5148932476432813,14.305589026012104,18.645653339091936,3.7296483366236015,14.160186328218535
17,4,354,6,1.694915254237288,17.00345403324841,3.614343295111364,14.196284979681092,19.160498152711273,3.8697785224391015,14.952710820949457
17,5,354,6,1.694915254237288,17.411715277823976,3.329023917877993,14.018283888512801,20.288957791328095,3.7360199119359536,15.008382898129906
18,0,366,10,2.73224043715847,16.168774492720985,3.2958864131153787,13.446186695674095,17.718426429866742,3.8686867140932057,13.859921468931867
18,1,366,10,2.73224043715847,16.791252819429804,3.333476411951664,13.482283776759242,18.643836257854204,4.2712688137559285,14.405919584515956
18,2,366,10,2.73224043715847,16.250583132639655,3.4420623711790475,13.080716133468195,19.25410069558377,3.9177953805230272,14.92637843710654
18,3,366,10,2.73224043715847,16.26320295400105,3.463439138074534,13.569636865413448,20.011215582157188,4.000039940242341,15.050024367140491
18,4,366,10,2.73224043715847,16.1574554374715,3.763002243955755,14.258099417971996,18.624740621525337,3.934257820250387,14.668580217939063
18,5,366,10,2.73224043715847,15.706219559955422,3.8101868454702084,13.831663739336438,18.431285577166772,4.308333182535471,14.768428724903012
19,0,362,7,1.9337016574585635,14.414372786356388,4.312548068892068,11.99301979294722,16.59677337696233,4.564793021276835,12.651225822800601
19,1,362,7,1.9337016574585635,14.728391082191084,3.6773280875989633,11.842487844884612,16.093646834973125,4.337406422746905,12.181677687461463
19,2,362,7,1.9337016574585635,14.284200532583277,4.1481562677344295,12.304512545311425,15.559240248415051,4.372966555318864,12.428175504347486
19,3,362,7,1.9337016574585635,15.320057003101404,3.6209844122772084,12.224122388950732,15.544217001907164,4.86232064740109,12.548501761177047
19,4,362,7,1.9337016574585635,14.815149651405067,3.7672508873599675,11.855311039973895,16.212698189465854,4.491790370521196,12.409692956019443
19,5,362,7,1.9337016574585635,14.731941073744029,4.187368287263948,11.847444511771801,15.980660357610589,4.347737484379363,12.185622905768076
20,0,337,6,1.7804154302670623,17.408984233335907,4.228746942977444,11.331184646831044,19.14024812846531,4.675426102949092,11.249832945797305
20,1,337,6,1.7804154302670623,17.137610065708504,4.863817671834552,11.139621399972617,17.924825590293445,4.741510284994824,11.215231570748546
20,2,337,6,1.7804154302670623,16.640277301271485,3.861310753578764,10.664653211340248,18.64283082678383,4.391812509116231,11.202963640927925
20,3,337,6,1.7804154302670623,15.733705566932677,4.227379296390585,10.688897950242245,17.079042192160934,4.727484515030819,10.541948579746787
20,4,337,6,1.7804154302670623,16.76390434084257,4.0620202125803635,10.57496397410204,18.71366513791044,4.437210119400899,11.05109718725031
20,5,337,6,1.7804154302670623,16.788448666299725,4.0302519751012875,10.632723967117936,17.89578132629903,4.365731203153774,10.732375100568024
21,0,383,9,2.3498694516971277,19.04125966725491,3.4520288393959015,15.646382935952024,20.491050380423754,3.853301750974507,15.629660955215991
21,1,383,9,2.3498694516971277,18.066939198880057,3.410175082770617,14.283076671678106,20.083935109283907,4.12060234241128,15.239218135289093
21,2,383,9,2.3498694516971277,17.79380572204761,3.5330066734257803,14.884845394832585,21.686735620543136,4.074958783781516,16.88193365149803
21,3,383,9,2.3498694516971277,18.972584701764994,3.530841082551259,15.64258828506824,19.899618987209745,4.024296475734743,15.347858208548118
21,4,383,9,2.3498694516971277,18.315883620885913,3.625754707400777,14.76487233864502,20.1611019953756,4.357821697278115,15.587934674268705
21,5,383,9,2.3498694516971277,20.2187957801314,3.4748397337707964,15.793876919504692,20.849098229131812,4.184775020496628,16.034132735227807
22,0,548,16,2.9197080291970803,17.201660504767435,3.555911615729674,10.21260990954273,18.641900555364874,4.636264635569542,10.553975214316196
22,1,548,16,2.9197080291970803,16.082683035428975,3.372266117978601,9.08341049269124,17.376729747940473,4.3366702307424205,10.405917857295819
22,2,548,16,2.9197080291970803,16.884487845098377,3.8279757293799284,9.53484226472371,17.458862679694832,4.775735764724373,9.969086736597697
22,3,548,16,2.9197080291970803,17.775270998825526,3.4927738754546573,10.682633679175954,18.419052384389182,4.702492218225592,10.69893848363005
22,4,548,16,2.9197080291970803,16.700087031667007,3.1738096421263604,9.80041274209377,20.385250414283103,4.20776409545899,10.663021981889681
22,5,548,16,2.9197080291970803,16.378389983589315,3.4779079614718937,9.74409367148947,19.429773724034252,4.519057739801861,10.576405351743738
23,0,553,11,1.9891500904159132,17.946217737458824,3.7518437048943487,14.68341566918638,19.542429722189233,4.197049447016959,14.936772245989838
23,1,553,11,1.9891500904159132,19.186888424232265,3.960610570004181,13.931242565036152,19.076586838018798,4.455895044988233,14.84528417217631
23,2,553,11,1.9891500904159132,16.822928687765877,3.585496322103485,12.872595529243942,21.078257975456896,4.367573848935644,14.156879757582061
23,3,553,11,1.9891500904159132,18.45988467063939,3.985020257344579,14.424016678858791,20.72590657994145,4.319984966239413,15.437761858718924
23,4,553,11,1.9891500904159132,18.374390976202097,3.808420156385615,13.998103414573194,18.4076261256298,4.163770446047371,13.122174558904424
23,5,553,11,1.9891500904159132,20.67291100534729,4.346534279388032,15.07537568399232,21.092041056892086,4.9566240218792705,15.675724063822845
24,0,586,12,2.04778156996587,16.263543447056296,3.632826374757729,13.118744804023171,17.210133633400904,4.132821526159455,13.509243130527882
24,1,586,12,2.04778156996587,16.020927880967943,3.4561946369256495,13.63577041124876,18.290806696959493,3.42829872658579,13.363425101002472
24,2,586,12,2.04778156996587,15.037174561497828,3.1111802414856284,12.819458956070132,18.206148282639543,3.7736250143695105,14.114185735392795
24,3,586,12,2.04778156996587,16.030197488412416,3.3709324658262325,13.115135393198461,17.640534362061008,3.7395831683327225,13.767134395224655
24,4,586,12,2.04778156996587,16.494774555964746,3.393053113185417,13.354602156712534,17.37707402784668,3.6590365465109316,13.853283083906353
24,5,586,12,2.04778156996587,17.00396491540361,3.5150404556332484,13.640109147773623,16.03306594850134,4.080773016992769,13.415014600687254
25,0,497,13,2.61569416498994,13.671325689258623,2.467450207814784,9.37850261165068,14.65971189472823,2.689315919051288,9.405258290852334
25,1,497,13,2.61569416498994,14.095072266272354,2.4238931992676602,8.92055177384396,13.534896432218623,2.6310127730241035,9.269676666712009
25,2,497,13,2.61569416498994,14.077644824782682,2.4425144748734753,9.240100776608049,13.846428553538317,2.5939773396496473,9.315972951363477
25,3,497,13,2.61569416498994,13.838323387139866,2.406751415481036,9.304432041799627,15.147456333133814,2.5233629505092887,9.602999262444275
25,4,497,13,2.61569416498994,14.846219466516958,2.320129313888512,9.510397907650173,14.187001078622991,2.5039221050400444,9.233330834811557
25,5,497,13,2.61569416498994,13.656613240819658,2.2237784251201047,8.866495747903633,14.937679059399349,2.707389672994823,9.759534994286449
26,0,412,10,2.4271844660194173,17.81135694642857,2.906224615062743,11.704674914055348,18.327964027123027,3.4769429811338632,12.06714620093769
26,1,412,10,2.4271844660194173,18.57832027338695,2.906948763177296,12.339994752405737,18.40744954584852,3.3278182938368235,12.098309784677856
26,2,412,10,2.4271844660194173,17.800626865261354,2.8064630482116497,11.492498413552543,17.753025011537503,3.3667382127684014,11.737593983293836
26,3,412,10,2.4271844660194173,17.463108408640206,2.97326717842225,11.323332510443976,19.536621064320105,3.391501588798671,12.260025182231818
26,4,412,10,2.4271844660194173,17.379992705224268,2.895332162102773,11.775955953797036,18.724709708033465,3.270421025416377,12.172690166933373
26,5,412,10,2.4271844660194173,16.311572106744883,3.1531441536369846,11.868319027413563,19.845747918991997,3.4748984107326644,12.694187288001128
27,0,629,15,2.384737678855326,19.493977401412366,3.314463400593966,16.489593161571925,22.69714917464286,4.03667140959062,17.89129869467046
27,1,629,15,2.384737678855326,21.079828228503626,3.5073982121599587,18.176817892559512,21.84892538971913,4.280198194248567,18.02657319422684
27,2,629,15,2.384737678855326,21.03483503909676,3.2632441026813317,16.58509372511039,20.20537780079177,3.7713962964453636,17.899912647679784
27,3,629,15,2.384737678855326,22.015578398660367,3.6958497454928287,17.48214867993653,21.806510441415014,3.8792946629166236,17.97326776542635
27,4,629,15,2.384737678855326,21.68421973350839,3.12918344641092,16.85457450755563,20.079500066514075,3.6194630842132898,16.33946700069289
27,5,629,15,2.384737678855326,19.502427593746265,3.581050891364144,16.67104959134477,23.91323777196338,3.943371962230622,18.474289075246027
28,0,497,14,2.8169014084507045,14.715723095528046,2.448205595972668,11.074029555160134,15.652421244069672,2.782782773262626,11.316645194879468
