набор,текст,условие,крупный,мелкий,средний,типов
механические,19,чужие хапаксы,25.02354367804271,26.259711509149753,30.22951044805322,115.0
механические,19,хапаксы одного домена,23.958175388635123,27.893383544516634,30.31463061930063,115.66666666666667
механические,19,20 чужих хапаксов,25.856499428869665,22.700396294963838,27.834597888326442,117.33333333333333
механические,19,маркер каждые 3,46.27906114383208,20.043706280257208,38.57282893855972,101.0
механические,19,без пунктуации,34.05437970367271,19.69112200663236,29.44995310998677,126.33333333333333
механические,19,без служебных,23.07494948496664,22.26743934139778,25.96346259593913,125.0
механические,20,исходный,33.713370041375526,19.476049824031403,28.981968437420353,111.0
механические,20,перемешивание,30.046227445060662,23.89809077797258,29.60285173290818,109.33333333333333
механические,20,все слова разные,31.224293372191507,28.827643812972223,33.15066953470252,142.33333333333334
механические,20,чужие хапаксы,30.787450910644182,22.16815059324587,30.377665901795538,111.0
механические,20,хапаксы одного домена,30.780883216577223,24.731119532914406,32.803752032103034,111.66666666666667
механические,20,20 чужих хапаксов,26.028785008569386,20.43543216608293,26.5485558803333,114.33333333333333
механические,20,без пунктуации,40.37184054481245,17.32105892672118,31.010735578392172,109.33333333333333
механические,20,без служебных,23.956984026683468,20.7170071846197,22.68654848573568,122.0
механические,21,исходный,28.55410152512252,14.642209384146762,28.149830092429255,130.66666666666666
механические,21,перемешивание,31.42817275070074,22.068608663220108,25.865097787261735,134.0
механические,21,эхо x2,26.096891326249253,19.15635886799465,28.158520479361712,105.33333333333333
механические,21,эхо на четверти,28.12730821756516,15.751539221788533,28.624732828832624,118.66666666666667
механические,21,словарь к 60,36.02478995815515,19.0731490596852,28.83532648556971,105.66666666666667
механические,21,все слова разные,21.964833754658443,26.813472773468433,25.904025433800786,150.66666666666666
механические,21,чужие хапаксы,30.242537082902544,27.363710486331062,30.13344727970158,135.33333333333334
механические,21,хапаксы одного домена,22.230272586623574,23.836182320002084,24.45964278211991,141.33333333333334
механические,21,20 чужих хапаксов,25.041460689862898,16.515079414074208,24.617121934399467,134.0
механические,21,маркер каждые 3,29.631407009489738,20.075769571500825,32.812794669120684,109.33333333333333
механические,21,без пунктуации,53.63616777225121,18.72320387123666,35.01744466152061,130.0
механические,21,без служебных,24.329872664108724,16.01956041017027,23.103534476337714,146.66666666666666
механические,22,исходный,33.838847396468005,17.47212299225415,34.28729290046287,109.0
механические,22,перемешивание,109.82159970279332,18.98358673921721,40.75269973311281,103.0
механические,22,эхо на четверти,34.23594047296625,18.858419263269393,33.69262943161503,101.0
механические,22,все слова разные,35.6382918899847,26.711173202770343,34.98031368013187,140.0
механические,22,чужие хапаксы,42.962668837330696,21.877417673884135,35.00530916513607,108.0
механические,22,хапаксы одного домена,30.459499782210457,20.406633548053406,26.12127291563063,114.0
механические,22,20 чужих хапаксов,35.282356134826955,16.02981493340354,32.50359534131083,102.5
механические,22,без пунктуации,95.29384073540717,17.237305189584287,42.963512948683096,103.5
механические,22,без служебных,31.31775827873646,15.013982022488575,35.79204581034215,107.0
механические,23,исходный,54.68461176477166,16.582467665593157,33.80523957227346,122.66666666666667
механические,23,перемешивание,38.11652278363923,22.903656129991365,32.28708772185953,127.66666666666667
механические,23,эхо x2,57.19498230638196,20.633189261964166,39.71415161558852,111.0
механические,23,эхо на четверти,56.18075434976831,15.747994232314468,39.754825059586466,115.66666666666667
механические,23,все слова разные,41.428806936477,30.65947689292928,35.28943309396416,158.0
механические,23,чужие хапаксы,33.91306974632176,21.113603921298957,30.60778209862869,129.33333333333334
механические,23,хапаксы одного домена,39.40867549110117,24.57643226346114,36.09831775790202,129.33333333333334
механические,23,20 чужих хапаксов,38.16426693389,16.5138394921672,31.93255064479145,128.33333333333334
механические,23,маркер каждые 3,89.63069934336824,21.57061284436225,60.46602565504941,107.0
механические,23,без пунктуации,45.74233571963226,16.650355646788338,37.773897685267634,128.33333333333334
механические,23,без служебных,27.58931716928923,16.157377683773404,26.9357122251108,134.33333333333334
механические,24,исходный,36.021908052880406,23.491019446657656,27.247316357744676,125.33333333333333
механические,24,перемешивание,34.95029218750701,22.457956731056537,36.35097084674064,130.0
механические,24,эхо x2,35.74402500981412,20.76873660221239,32.938810148039856,109.33333333333333
механические,24,эхо на четверти,36.14824075761587,20.63583567399512,30.688152002954684,121.66666666666667
механические,24,словарь к 60,28.38761100861754,25.103059668549747,28.079833406046696,107.0
механические,24,все слова разные,28.475367213174238,29.41611400302608,32.50108574958186,143.66666666666666
механические,24,чужие хапаксы,26.21189175923215,25.97644927734447,26.810635082545872,128.66666666666666
механические,24,хапаксы одного домена,25.076106763002855,25.93849142280463,27.3911621908314,129.66666666666666
механические,24,20 чужих хапаксов,32.91020429560248,24.37724853927757,25.6364629582081,121.33333333333333
механические,24,маркер каждые 3,31.928456970668297,20.344041250934655,31.141732194249354,111.33333333333333
механические,24,без пунктуации,46.357416813059025,27.5729852592893,35.35639312788968,122.33333333333333
механические,24,без служебных,24.43552241577414,28.040871966506163,25.24738335256957,135.66666666666666
механические,25,исходный,34.64573177546672,23.246684812340288,28.54857725943006,104.0
механические,25,перемешивание,32.92365504449156,22.886642575250228,34.67442507744964,109.0
механические,25,все слова разные,23.68259945989955,29.566357165379873,27.583964182854825,139.0
механические,25,чужие хапаксы,26.463217447830093,25.579088611169546,27.193731430394543,104.5
механические,25,хапаксы одного домена,25.222448752887917,34.22954932045972,24.86998553309327,103.0
механические,25,20 чужих хапаксов,26.890977591545827,22.635817026641263,29.5314583457802,108.0
механические,25,без служебных,21.708286980999663,21.142383228566057,23.6558326779223,109.0
механические,26,исходный,38.64195717967661,14.414570044753011,23.5715571786081,114.66666666666667
механические,26,перемешивание,31.321069630580933,15.894754379107889,27.888017919503373,111.66666666666667
