perturbation,mode,q,n,d0,delta,rel,effect
add_typos,q_small,0.1,200,9.018813562918895,0.5758541270599217,0.06713401072347618,0.9300878075843492
add_typos,q_small,0.15,200,9.623569977027621,0.6800383089990256,0.07447152180204215,0.9783031280543105
add_typos,q_small,0.2,200,10.533997825179572,0.824195704735983,0.08280328230797913,1.0205206046650332
add_typos,q_small,0.25,200,11.714500778846968,0.9542215357514237,0.08700229442162272,1.0175127697144206
add_typos,q_small,0.3,200,13.006993177097893,0.9891758446062597,0.08218843246469763,0.9372032975040663
add_typos,q_small,0.35,200,14.185538840755562,0.8964753434369845,0.06901779416905443,0.7878028971830409
add_typos,q_small,0.4,200,15.093259030138121,0.7589320140724379,0.05548403531965184,0.6367845371438609
add_typos,q_small,0.45,200,15.720746319944292,0.6541570679025781,0.04662197433843998,0.5224529943431743
add_typos,q_small,0.5,200,16.158172757975546,0.5871345825067315,0.04165193335405929,0.44185029230764017
add_typos,q_small,0.55,200,16.481279635819938,0.5446220187460099,0.03900626093609124,0.38504911812938714
add_typos,q_small,0.6,200,16.7304569300441,0.5108403488815522,0.037447062320937335,0.3379049773185321
add_typos,q_small,0.65,200,16.922051348087663,0.48368297762466633,0.036740544870389004,0.29758456105971987
add_typos,q_small,0.7,200,17.065368168057965,0.4546306586794572,0.03632197241640237,0.2597560983081222
add_typos,q_small,0.75,200,17.15399778664486,0.43329383597676563,0.03676851336067443,0.22914784802073854
add_typos,q_small,0.8,200,17.1940468699077,0.4017667297325596,0.03729292936282863,0.1947154579516303
add_typos,q_small,0.85,200,17.205576112581216,0.33297923241176614,0.03613169955806244,0.14592135328163666
add_typos,q_small,0.9,200,17.26836606986298,0.1721695439074467,0.03030044950533154,0.06524849099112301
break_at_commas,q0.5_range,0.0,200,4.868834044029737,-0.38396176458053594,-0.0737654958071024,-0.9277282112036346
break_at_commas,q0.5_range,0.05,200,5.493228688367082,-0.4622621692373571,-0.07918793621295686,-1.032663522167391
break_at_commas,q0.5_range,0.1,200,6.135708380205817,-0.5094391238583561,-0.07845010811736622,-1.032891960135755
break_at_commas,q0.5_range,0.15,200,7.041429811325168,-0.5986300223949914,-0.07991596572605676,-0.9885411014705051
break_at_commas,q0.5_range,0.2,200,8.314702473197487,-0.7219082075176264,-0.08119057491333889,-0.9392336947876632
break_at_commas,q0.5_range,0.25,200,9.958781754716112,-0.8051281614174326,-0.07561203362907869,-0.8658952382888357
break_at_commas,q0.5_range,0.3,200,11.792150225515147,-0.7911561446961082,-0.06286741203343076,-0.7826071727547381
break_at_commas,q0.5_range,0.35,200,13.483253706856171,-0.7546811544454621,-0.05213114551453421,-0.7464059418018053
break_at_commas,q0.5_range,0.4,200,14.76606034226928,-0.8068267058340046,-0.050157752589018646,-0.7772814308825633
break_at_commas,q0.5_range,0.45,200,15.551153906749601,-0.9172752493473537,-0.053070855462594616,-0.7876585221992917
break_at_commas,q0.5_range,0.5,200,16.158172757975546,-0.9498425800674164,-0.05174771670467933,-0.7097506817406383
break_at_commas,q_large,0.0,200,8.332040262983808,-0.46765766258694724,-0.05208701182851412,-0.8543952350570615
break_at_commas,q_large,0.05,200,8.019165989233327,-0.4634499110316673,-0.05387917217089478,-0.8779877560633779
break_at_commas,q_large,0.1,200,7.733865298584845,-0.4448057451303836,-0.05378849736243915,-0.8679622427036152
break_at_commas,q_large,0.15,200,7.425417331867411,-0.42402119396457066,-0.05342453881188142,-0.8474969023730502
break_at_commas,q_large,0.2,200,7.10069037973331,-0.4080842156953078,-0.05373261700054655,-0.8320023997687723
break_at_commas,q_large,0.25,200,6.761326990986117,-0.3960098124178063,-0.05472189226615022,-0.8236470684465205
break_at_commas,q_large,0.3,200,6.409073668093284,-0.3881162298128362,-0.0565676017144704,-0.8265248651525459
break_at_commas,q_large,0.35,200,6.044100242885731,-0.3838597734541749,-0.05933591414898163,-0.8384704377421267
break_at_commas,q_large,0.4,200,5.665426877979743,-0.3821707334869582,-0.06303505752759772,-0.8587876198254953
break_at_commas,q_large,0.45,200,5.273233700298906,-0.38260359176152137,-0.06784063798644027,-0.8891886158058322
break_at_commas,q_large,0.5,200,4.868834044029737,-0.38396176458053594,-0.0737654958071024,-0.9277282112036346
break_at_commas,q_large,0.55,200,4.458030125824559,-0.38444984769009544,-0.08067458054573279,-0.9749790978184608
break_at_commas,q_large,0.6,200,4.057356728522483,-0.3797351135430456,-0.08747348320628401,-1.0290124119839394
break_at_commas,q_large,0.65,200,3.700173555760281,-0.3625772771323795,-0.09139690825838713,-1.0742722385271597
break_at_commas,q_large,0.7,200,3.4266589225301947,-0.32346570419107906,-0.08774128936400252,-1.045490325951804
break_at_commas,q_large,0.75,200,3.2668464965398236,-0.2628225658647145,-0.07376113752399274,-0.8453825836764903
break_at_commas,q_large,0.8,200,3.22337894016683,-0.198793627074636,-0.053753912004535345,-0.5411942507754034
break_at_commas,q_large,0.85,200,3.253674919248454,-0.13933709789411766,-0.03151923261012178,-0.28892285773713194
break_at_commas,q_large,0.9,200,3.214656403209359,-0.043741155486791625,0.004123171496286275,-0.07018582939227794
break_at_commas,q_small,0.0,200,8.332040262983808,-0.46765766258694724,-0.05208701182851412,-0.8543952350570615
break_at_commas,q_small,0.05,200,8.659961810012796,-0.567743327256023,-0.06132582940004376,-1.0036787158153289
break_at_commas,q_small,0.1,200,9.018813562918895,-0.6326907531801785,-0.06593658888530958,-1.0586325333362878
