условие,текст,длина,тип,масштаб
исходный,44,0.7363446139136594,служ./пункт.,32.84071720483657
исходный,44,0.3220271777160699,повтор токена,32.84071720483657
исходный,44,0.8032837900228555,служ./пункт.,32.84071720483657
исходный,44,0.5831968617579133,два смысловых,32.84071720483657
исходный,44,0.460163236389473,повтор токена,32.84071720483657
исходный,44,0.6141600518636418,повтор токена,32.84071720483657
исходный,44,0.7372106731082021,служ./пункт.,32.84071720483657
исходный,44,0.013304169787680524,сток,32.84071720483657
исходный,44,0.011702128353110157,сток,32.84071720483657
исходный,44,0.7713908105783034,служ./пункт.,32.84071720483657
исходный,44,0.6322858437351955,два смысловых,32.84071720483657
исходный,44,0.705348884868474,два смысловых,32.84071720483657
исходный,44,0.12051119455668297,повтор токена,32.84071720483657
исходный,44,0.7596552959196239,служ./пункт.,32.84071720483657
исходный,44,0.13860228609733374,повтор токена,32.84071720483657
исходный,44,0.015122471357800357,сток,32.84071720483657
исходный,44,0.6478999707666314,повтор токена,32.84071720483657
исходный,44,0.7597485499560588,два смысловых,32.84071720483657
исходный,44,0.8017609845170073,два смысловых,32.84071720483657
исходный,44,0.444907230853871,повтор токена,32.84071720483657
исходный,44,0.26871163558216904,повтор токена,32.84071720483657
исходный,44,0.3821097472925371,повтор токена,32.84071720483657
исходный,44,0.3092865811439697,повтор токена,32.84071720483657
исходный,44,0.6561220599237083,служ./пункт.,32.84071720483657
исходный,44,0.6858946210067808,два смысловых,32.84071720483657
исходный,44,0.6762924874188788,два смысловых,32.84071720483657
исходный,44,0.7188920983418928,два смысловых,32.84071720483657
исходный,44,0.6886259503430033,два смысловых,32.84071720483657
исходный,44,0.6239363513716953,два смысловых,32.84071720483657
исходный,44,0.7427200976575579,прочее,32.84071720483657
исходный,44,0.7232930735789367,два смысловых,32.84071720483657
исходный,44,0.6308989909137551,два смысловых,32.84071720483657
исходный,44,0.31208663625717564,повтор токена,32.84071720483657
исходный,44,0.6963724857753548,служ./пункт.,32.84071720483657
исходный,44,0.6216757404877398,служ./пункт.,32.84071720483657
исходный,44,0.6001338283912296,два смысловых,32.84071720483657
исходный,44,0.6635645503463835,два смысловых,32.84071720483657
исходный,44,0.6626563648020266,два смысловых,32.84071720483657
исходный,44,0.6790340477979369,два смысловых,32.84071720483657
исходный,44,0.7593346012648439,служ./пункт.,32.84071720483657
исходный,44,0.6841152333395736,прочее,32.84071720483657
исходный,44,0.6732149408564054,прочее,32.84071720483657
исходный,44,0.7678959909496682,служ./пункт.,32.84071720483657
исходный,44,0.7926083492137305,служ./пункт.,32.84071720483657
исходный,44,0.27423674775885826,повтор токена,32.84071720483657
исходный,44,0.7617872971601071,два смысловых,32.84071720483657
исходный,44,0.38226511950775105,повтор токена,32.84071720483657
исходный,44,0.34552364937072005,повтор токена,32.84071720483657
исходный,44,0.4820622985791418,повтор токена,32.84071720483657
исходный,44,0.9863744837306747,сток,32.84071720483657
исходный,44,0.5464133106933713,два смысловых,32.84071720483657
исходный,44,0.575487573473185,повтор токена,32.84071720483657
исходный,44,0.47650177057462606,повтор токена,32.84071720483657
исходный,44,0.5005151094175826,повтор токена,32.84071720483657
исходный,44,0.8046739616219886,служ./пункт.,32.84071720483657
