mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,L,config,text
q_small,0.9,24.477951308613942,3.335852984772247,0.9591469078685481,1.2870480840811462,0.9998989303794537,0.0055513087346184065,0.009988810362788314,0.005567455691274367,5,25,128,128,legacy,xsum_22
q0.5_range,0.0,5.651047386870172,0.3139204742811914,0.8230416537784778,3.0172840983531275,0.9995722251067563,0.009801676291301332,0.016587275366245713,0.009830186188660208,5,25,128,128,legacy,xsum_25
q0.5_range,0.3,15.610252867717112,1.1557156493021263,0.9359395386817816,2.867705925455742,0.999922970966864,0.004729004523668555,0.007986023056189673,0.004742759664072355,5,25,128,128,legacy,xsum_25
q_large,0.0,10.214593271715719,0.6820081622941955,0.9021008498919867,3.608509972836563,0.9998425156139246,0.006517574847681798,0.009354101385564917,0.00653653235907208,5,25,128,128,legacy,xsum_25
q_large,0.3,7.444675230178755,0.468386773311548,0.8656758059846233,3.28787949793622,0.9997141667417816,0.008426587235175193,0.013532639682063419,0.00845109744445171,5,25,128,128,legacy,xsum_25
q_large,0.6,4.660307088358079,0.2789190294804032,0.7854218657611423,2.864228849642102,0.9991985706680293,0.012805238943055734,0.021421255610019507,0.012842485230024667,5,25,128,128,legacy,xsum_25
q_large,0.9,2.188168841289865,0.2624066599627079,0.5429968743131688,1.787652501689835,0.9703462437751219,0.054645173107338206,0.09520322991933838,0.05480411819286718,5,25,128,128,legacy,xsum_25
q_small,0.0,10.214593271715719,0.6820081622941955,0.9021008498919867,3.608509972836563,0.9998425156139246,0.006517574847681798,0.009354101385564917,0.00653653235907208,5,25,128,128,legacy,xsum_25
q_small,0.3,18.823135892665896,1.398736373929628,0.946873889361356,3.207165747741828,0.9999478543418618,0.003936321165083504,0.005669496520393835,0.003947770646687757,5,25,128,128,legacy,xsum_25
q_small,0.6,24.3253395820024,3.0731595655360637,0.958890604728089,2.6595763006227253,0.9999120006463142,0.005178522872036279,0.00850453733709955,0.005193585515523431,5,25,128,128,legacy,xsum_25
q_small,0.9,51.20710576723846,11.313234059696367,0.9804714602589435,1.272341864788416,0.9999419130279902,0.004301945695291592,0.00680162167775844,0.004314458660071408,5,25,128,128,legacy,xsum_25
q0.5_range,0.0,3.949554144484802,0.325051311469193,0.746806863909839,3.2808093787000243,0.9976697473341216,0.02077755260353397,0.03695953462430879,0.020837987765284935,5,25,128,128,legacy,xsum_25
q0.5_range,0.3,12.713324817752499,1.6211235908732113,0.9213423699673251,2.928054647187661,0.9996445975070101,0.0100008393591978,0.014800280236924479,0.010029928557326734,5,25,128,128,legacy,xsum_25
q_large,0.0,7.701383114030828,0.6067794545675839,0.8701531938882326,3.7233835971560763,0.9995854885027494,0.010200748079529573,0.017849945466010375,0.01023041874728966,5,25,128,128,legacy,xsum_25
q_large,0.3,5.42882456998053,0.4114562068611535,0.8157980632622309,3.4631164295652566,0.9991221940386729,0.013920364721532191,0.024481027974895042,0.013960854547722555,5,25,128,128,legacy,xsum_25
q_large,0.6,3.1658565674928956,0.2739044820045392,0.6841297201307134,3.2105194983649636,0.9952356506094069,0.0272492956560759,0.04996934333932668,0.02732855501938969,5,25,128,128,legacy,xsum_25
q_large,0.9,1.264021595176252,0.07079964540400309,0.20887427571159292,2.8974145893036414,0.8810423645909502,0.044183560162471665,0.08407198416130157,0.04431207580895345,5,25,128,128,legacy,xsum_25
q_small,0.0,7.701383114030828,0.6067794545675839,0.8701531938882326,3.7233835971560763,0.9995854885027494,0.010200748079529573,0.017849945466010375,0.01023041874728966,5,25,128,128,legacy,xsum_25
q_small,0.3,15.273059177939938,1.9353015333951311,0.9345252324141861,3.2588943097347185,0.9997636096960135,0.008272469669331303,0.011767106857527132,0.008296531600593649,5,25,128,128,legacy,xsum_25
q_small,0.6,21.60699675801179,2.6133060665016417,0.9537186953282064,2.6849802096781024,0.9998966670781624,0.0055813605050662905,0.009129649381661054,0.00559759487257581,5,25,128,128,legacy,xsum_25
q_small,0.9,31.871009295019686,3.6064369606550035,0.9686235226897485,1.314167208460675,0.9999596942367728,0.0035401798277587544,0.005555084664154997,0.0035504770626930415,5,25,128,128,legacy,xsum_25
q0.5_range,0.0,4.827877574773487,0.38602605927616374,0.7928696441630632,3.129739258701968,0.998692752490129,0.016513637149434438,0.031936767626886464,0.016561669964042885,5,25,128,128,legacy,xsum_25
q0.5_range,0.3,15.932997724164855,2.4153623338155965,0.9372371717292506,2.860583366358028,0.9996909259111192,0.009486934738474085,0.013853098312006651,0.009514529154735748,5,25,128,128,legacy,xsum_25
q_large,0.0,9.368584747842112,0.8469379685870407,0.8932602920382043,3.6371448085749516,0.9996500383697797,0.009621487837504319,0.01786747897956431,0.009649473625091526,5,25,128,128,legacy,xsum_25
