набор,текст,условие,каркас: черешок ср,каркас: ребро CV,до ближайшего повторного,одиночки: до ближайшей,каркас: ребро у одиночек ср,"каркас: доля рёбер одиночка-одиночка, %",одиночки: размер цепи,одиночки: разброс до ближайшей,каркас: ребро у одиночек CV,R = обменность,каркас: черешок CV,каркас: ребро ср
механические,20,20 чужих хапаксов,0.780762050297796,0.1012413124060193,0.8010816641438536,0.770381727055304,0.7538715385601775,47.02708959346128,5.593262946204123,0.08298863252240259,0.09995913243167558,1.089512850701261,0.09512677504143731,0.7514732141923224
механические,20,маркер каждые 3,0.786237947675467,0.09568205596663425,0.8122674643892346,0.7637349358700455,0.7598352392260611,50.486303436614,5.252136752136752,0.08312134796913793,0.09614907837077062,1.0657285655639217,0.08789765676220425,0.7609535462540857
механические,20,без пунктуации,0.7991969887037526,0.10075870821637839,0.8163702227583572,0.7804619668164232,0.7714119098848901,40.320442220753755,4.883760683760683,0.09027162694550332,0.10019192625754153,1.1011671592919245,0.09092262985844134,0.7652914497056186
механические,20,без служебных,0.7726655451908256,0.10949309276586461,0.7861508873805109,0.7549817472710533,0.7418779235058525,47.58271617210928,4.381787802840434,0.08748649903657561,0.10888594010078657,1.0433029087445067,0.10767808708954818,0.7434945425615472
механические,21,исходный,0.7919791849132823,0.11341145299699155,0.8136633080567807,0.7813771142003372,0.7641793944888687,46.84115103615779,5.430963773069036,0.08185947643368409,0.10708331771289399,1.1188837101233051,0.09889262327348058,0.755660572203669
механические,21,перемешивание,0.793476609640364,0.10141385614320164,0.818842737205875,0.7691842592301453,0.7609241236111094,56.29090638916679,6.0342836257309935,0.09142051098557887,0.1034879267810805,1.0818851285627675,0.10019893717723632,0.7586049580646362
механические,21,эхо x2,0.7944394424655111,0.10090390975131762,0.7809766639750739,0.8214646896498538,0.7709949284178522,16.611847903490773,4.627777777777777,0.08009129822360093,0.08991128450526355,1.047433210700589,0.08417907610591624,0.7614296145297731
механические,21,эхо x4,0.7975329102325741,0.08902279817672781,0.7864806380425166,0.8511912286591073,0.7822759714844967,4.89536905326379,4.944444444444444,0.09587719736422991,0.08140307746666488,1.0204013444554754,0.08323809070795618,0.783629175058211
механические,21,эхо на четверти,0.7988417343043216,0.1031646435358325,0.801173620928278,0.7933323025666758,0.7702939507278709,35.69083390223418,6.216783216783217,0.09384611916529462,0.09883176411015675,1.0609887217519007,0.07970646706639739,0.7637195780942855
механические,21,словарь к 25,0.792895128242367,0.11948956509551846,0.7945759209135589,0.8109344187564188,0.763630803271132,22.56027585348075,5.000757575757576,0.09275579511118058,0.12440879378881646,1.1014579132389397,0.12855299733982994,0.7509617557472462
механические,21,словарь к 60,0.7959439120951046,0.12096232979775878,0.8033120150140176,0.7891224707635683,0.7653805882231345,37.199408065112834,5.298290598290598,0.089629440702799,0.11623456802895359,1.1247712293847736,0.11191754634694913,0.7522901937444652
механические,21,все слова разные,0.7800137767584693,0.10643306077393642,0.8653986202640901,0.7450625084733425,0.7487672413299965,75.99813386805191,5.465546530763921,0.09100478114076888,0.10662378420696106,1.0601332568085182,0.10000212094209908,0.7547079295476197
механические,21,чужие хапаксы,0.7938026638438443,0.11462004549596161,0.8398093567841852,0.7666499430297035,0.7604809420994151,62.61223579276113,6.057889822595705,0.0966288707090117,0.11531320998593812,1.079233038394751,0.11441382526584126,0.7621853322380424
механические,21,хапаксы одного домена,0.783115780627393,0.10857800133082474,0.8327984365856566,0.7577346750402737,0.750236216616714,61.301299990726044,6.560053981106613,0.09452864417402701,0.10784768632233806,1.1030216791649006,0.1014466943548963,0.7495597679113105
механические,21,20 чужих хапаксов,0.7831863276537621,0.11349168621852557,0.8143385418586431,0.7765712464085942,0.7568535458494922,49.233750745378664,5.888888888888889,0.0845326700264651,0.1072004173523341,1.1123025039187224,0.10490258479498693,0.7501852481842507
механические,21,маркер каждые 3,0.8022624387734417,0.09509444034868908,0.8149117337037067,0.8019271285257298,0.7772281091423688,46.727333444648515,6.731934731934731,0.07602319418075192,0.09170214692732855,1.0772369659124106,0.08568729836330724,0.7717299395433505
механические,21,без пунктуации,0.8136699889683153,0.10488862921892399,0.827759041786678,0.7956310759436388,0.7805597148952058,49.324475524475524,5.376322751322751,0.08992918455194997,0.10121058970438845,1.1168552196992094,0.09178462630576982,0.7748530679200692
механические,21,без служебных,0.7799217751851838,0.11595762665399174,0.8042973542136433,0.7626063108496218,0.7499984167336873,58.07460590013452,5.903150183150184,0.09022869152287921,0.11258975405879805,1.0859588078166096,0.1083758113884813,0.7457993917460201
механические,22,исходный,0.8017159359848605,0.11203398188529208,0.8180617144313067,0.8115361498345837,0.779202784653079,31.24052668726208,5.0321428571428575,0.08343225806460496,0.11317010002029215,1.1290413611576877,0.11307645557756939,0.7654610371811184
механические,22,перемешивание,0.815986470619479,0.1414003812646575,0.8099457708210603,0.8234751284290885,0.7856142517671518,29.31242456769949,6.407592407592408,0.11708952201614513,0.14869111011810496,1.095143211106687,0.140128282197076,0.7751003354269089
механические,22,эхо x2,0.8115631586151545,0.11182031842293755,0.8155938252166116,0.834926248798332,0.7954200815695724,13.447822945763967,7.646723646723647,0.0984685160422068,0.11377659853597917,1.0970085985498854,0.10870404290772516,0.7760533142523213
механические,22,эхо x4,0.842726101778725,0.10511774545689923,0.8133063526298695,0.8867060731763351,0.8143827314192676,4.971296174064332,8.444444444444445,0.07598773658939885,0.10561845995296752,1.0606654304825651,0.08857464547694455,0.7864724502535761
механические,22,эхо на четверти,0.803949244504777,0.11159172782570166,0.8101414731998471,0.8174311765000565,0.7770353148177728,24.029239766081872,5.603174603174604,0.08086761826360629,0.11762935524386538,1.0832680497583096,0.09635896100964148,0.7672689092498767
механические,22,словарь к 25,0.8313352086648583,0.1111581252736137,0.828805738899059,0.8617688357731956,0.8075853783442227,13.230994152046783,4.733333333333333,0.09061264830678879,0.10361498543736654,1.1118628268965216,0.09936543169808887,0.7809685554429872
механические,22,словарь к 60,0.8071540467741326,0.11529188004756834,0.8113081771004046,0.8391403457198892,0.7868546135139889,15.498922690703514,5.25,0.10850691216074664,0.12108784180022975,1.1109752308899496,0.11764207910480691,0.7655484689789874
механические,22,все слова разные,0.8097276351573658,0.08948854185069582,0.8694903432313841,0.7792566891282506,0.7782623482694936,77.07929816566025,6.2775974025974035,0.07516070205548553,0.0882478513068944,1.1106870441617283,0.07767101307297752,0.7792205221792349
механические,22,чужие хапаксы,0.7823951781536183,0.11247577084029414,0.8268030041105515,0.7742698022339196,0.7570503175060512,43.50374981088851,5.775396825396825,0.10394487378817768,0.11391546790080749,1.093359230487781,0.1069565699015513,0.7607205780321363
