текст,условие,зерно,как есть: крупный,как есть: мелкий,как есть: средний,без оси: крупный,без оси: мелкий,без оси: средний,без случайного: крупный,без случайного: мелкий,без случайного: средний
7,перемешивание,2,22.005549798611387,6.008149293800266,16.360538173399302,22.521469308777025,6.029662262214328,16.490858900782143,21.99591656924164,6.008551551822492,16.357892803178004
8,исходный,0,15.705044361470092,2.8941307788225985,12.87317449397852,15.72964078009895,2.8924618299094904,12.945646187267878,15.729771600038097,2.8945313776597037,12.891414803664182
8,исходный,1,16.62535857127099,2.8582147029317864,12.91703785788331,16.711338770834217,2.8556551998703354,13.042288646259328,16.627731178202687,2.858450513807719,12.934495872593024
8,исходный,2,15.702646521433435,2.908409339880926,13.028468368781244,15.738331972775818,2.905817498192561,13.124847114678479,15.714713635832775,2.9082941289186253,13.043850388240651
8,чужие хапаксы,0,16.01204321592888,3.3471564695262117,12.610450811131559,16.11617226518145,3.3415314851395785,12.79842081572701,16.026232882308193,3.3472659786068215,12.618150552593837
8,чужие хапаксы,1,16.034967254208645,3.3149276996374994,13.097308329922987,16.115866515185047,3.3049371979053093,13.282272066036871,16.04816912727918,3.3149181125819163,13.11031677118773
8,чужие хапаксы,2,15.396526677429685,3.404530174724872,12.292529708919414,15.463681063538225,3.399686375661483,12.43555937186136,15.414000048609672,3.4045373267007806,12.298548943410026
8,перемешивание,0,17.854418428564788,5.64920553288584,14.91295137860774,18.207056420629232,5.638389123953649,14.969945540782138,17.821663740274005,5.650457603114729,14.903023185212499
8,перемешивание,1,18.21602503159467,5.243662470649673,15.184448155997757,18.72455132000389,5.248550493546675,15.23816237551516,18.19465592878514,5.24610962676453,15.181901738722974
8,перемешивание,2,18.73837851182832,5.635110491882195,15.181242536880541,19.006297674498697,5.631278201208853,15.21426542740607,18.719924585848762,5.6376968356361346,15.180669469624707
9,исходный,0,19.45582789467102,4.598364215669599,11.49158266067722,19.589169269280884,4.608777744116835,11.539173540718881,19.447224610626485,4.598441791375554,11.492134390477585
9,исходный,1,20.192130380657602,4.8337819306658,11.325295209043649,20.30328196208406,4.83423748511161,11.333818330227464,20.165995555951255,4.83524943745904,11.328414758430585
9,исходный,2,16.626822268564588,4.709035457237922,9.981130514697204,16.689597085565772,4.7175751479245465,10.01229099838377,16.62666414887073,4.7105445066618055,9.98533645459442
9,чужие хапаксы,0,17.172150468243856,5.462826019628551,10.455736598517072,17.324907713438304,5.4688887918482365,10.496297734328738,17.167083085755266,5.462370486220119,10.45793372942244
9,чужие хапаксы,1,16.09100291363258,5.037031137734107,10.227103949416001,16.214831373630606,5.053379568568067,10.278887968572402,16.075949842089123,5.037413617834255,10.226975105028115
9,чужие хапаксы,2,14.877680338642513,5.165905668737608,10.652918208906573,14.929173145301434,5.192325104278164,10.675621167663973,14.87321914786532,5.1658278822228025,10.659025209349942
9,перемешивание,0,19.395362290031613,7.981096118721459,13.210559385046404,19.719030396783335,7.957157342850583,13.281757465646063,19.398731207366588,7.983972750317942,13.211792025765144
9,перемешивание,1,18.815475847869465,7.360643492699531,13.410511238312186,19.14588810824769,7.372366991325392,13.533629938227785,18.80754013690515,7.364626768538031,13.407268310099019
9,перемешивание,2,20.079083526504416,7.706338192227666,13.77887413492004,20.231542805890886,7.69102852952341,13.928763857728478,20.063289473669826,7.71157736945409,13.78744561715159
10,исходный,0,18.787495031267653,4.294211237176536,15.246523923591178,18.89123653924485,4.288269646768084,15.413378417339487,18.775460072331633,4.2953712845851415,15.241642362110278
10,исходный,1,18.63941201042433,4.2406365951136795,15.259778273809957,18.722463878307494,4.237647417975053,15.368718107862634,18.638537960458578,4.241974438618242,15.266401802193908
10,исходный,2,20.69902774166631,4.426022287780026,16.423191929853154,20.70424447011911,4.427244696834774,16.587535732769982,20.688600565825393,4.42681264922334,16.433815636698455
10,чужие хапаксы,0,14.262021368792773,4.419469101391118,13.963626394469822,14.315661020029856,4.431731349633572,14.038936145563628,14.255072817510332,4.420081007028491,13.958203889552712
10,чужие хапаксы,1,14.362298408722832,4.613135442964563,14.239387273917936,14.368725508035645,4.611952410544139,14.333044624024552,14.355597939422864,4.613354351238188,14.233486846246327
10,чужие хапаксы,2,13.278899913461931,4.720618333116347,13.497169987178566,13.374148742456129,4.711062937595862,13.620268326199158,13.273507787266965,4.720799028041201,13.504202836447607
10,перемешивание,0,18.122829702626174,5.954894901012393,14.336919129063308,18.57979896156171,5.960127945959173,14.500028598092362,18.115171855809766,5.952016576097143,14.338416327381282
10,перемешивание,1,17.302821486775674,5.428625356321568,14.713518925646056,17.75811549736548,5.435299099103687,14.89435408134408,17.30917731610405,5.4284242845262645,14.711965982877032
10,перемешивание,2,17.085697879338,5.023056745174034,13.458086902160826,17.605470119394838,5.032535510531078,13.638639922972777,17.07232329820399,5.021799157611381,13.457707023608133
11,исходный,0,20.644103572975204,3.729592772644907,14.160876641782753,20.499819807802876,3.731568322449383,14.16080753894658,20.64630283466417,3.7294897766707438,14.159196707979323
11,исходный,1,20.1822521680193,4.253381052797581,14.260011506246936,20.13373615245883,4.244445930086031,14.336884768172462,20.176882445225726,4.252249755159068,14.258460939288227
11,исходный,2,19.145687270645183,3.799676388603202,13.57353425995677,19.217226118581344,3.8007442700434715,13.620805508609891,19.14872984671841,3.798956640726335,13.576768325410862
11,чужие хапаксы,0,16.642903587165318,4.651903150361337,11.513232482807194,16.84240389859967,4.6558261163292665,11.657880431458908,16.643678916972682,4.652375548622912,11.508416223476413
11,чужие хапаксы,1,16.393083136980877,4.218823268013919,11.766063295290763,16.711293348242407,4.229811519509188,11.95058423296313,16.3798321171333,4.2192182289661035,11.758175167618468
11,чужие хапаксы,2,16.97547151359637,4.267486661666591,12.001762783836684,17.170609520673608,4.256120700407592,12.15575400751462,16.968339651159166,4.267942412694039,11.996648055762702
11,перемешивание,0,17.74713999921122,5.837590067855672,14.090535793266397,18.355700910858822,5.845195925962101,14.23805204176109,17.72618555276517,5.838881253339059,14.084274122407885
11,перемешивание,1,18.53908501975305,5.7449551863392845,13.62943369219352,19.105073414194987,5.766287208718801,13.79948566839911,18.524600876239575,5.747771319562358,13.627192960033469
11,перемешивание,2,17.935825056058864,5.427748099601123,12.737170526886288,18.44400173490625,5.432495403974131,12.922155697270057,17.922589311280962,5.428227397449983,12.734383808439807
12,исходный,0,20.059818360599063,3.8588669783432743,12.194780358949098,20.38776440544729,3.8749195252372304,12.30152964830054,20.009996867374728,3.859160696626834,12.193186163345294
12,исходный,1,17.918539919644058,4.129353884083062,11.56898502860967,18.18528538643703,4.144069917486866,11.668325840878422,17.8855260251462,4.130016615548557,11.567849660618313
12,исходный,2,19.643604901777078,4.342518546314092,11.938746569165502,19.9368931164001,4.350750065794931,12.024871008395243,19.60988942172643,4.343246201499614,11.940202359425934
12,чужие хапаксы,0,14.755541368709524,4.4536048641124335,10.738011026973988,14.927062177046828,4.4700638246386,10.830441252679874,14.73459916941627,4.453325021198672,10.731844186097648
12,чужие хапаксы,1,14.891908121826354,4.599525496267563,11.28285008795332,14.915032391763027,4.602287865435209,11.37469435515244,14.870802669159225,4.599021864651038,11.280991964087168
12,чужие хапаксы,2,13.957651349132455,4.482890089269772,10.348270996738163,14.080722867561077,4.498311957861477,10.434618820167042,13.944584703527624,4.48377187816614,10.347420536718868
12,перемешивание,0,17.631351028279155,6.443636052656657,13.152339044280108,17.912651697532265,6.471392149222935,13.227814895623112,17.644274493756637,6.44444502688999,13.159644416016992
12,перемешивание,1,20.00114964125637,6.731118111739636,13.608815509413091,20.28122711336907,6.740364558754067,13.727710171048608,20.006389311730388,6.7317610626218345,13.618252606343265
12,перемешивание,2,19.78386316876283,5.5514619142146815,14.28247451260685,20.343978521169472,5.5633366878389605,14.437223084531235,19.786265441613622,5.55071258451031,14.292399718059551
13,исходный,0,16.92616845389303,3.982600373869421,14.841611115891507,16.836525583845,3.9919638923413205,14.89348920304226,16.89788401513404,3.9822612668922717,14.836245552095813
13,исходный,1,15.81372415371784,3.5655094861591583,13.871363842074066,15.866186748563004,3.574843036154417,13.887543255062416,15.806447310784412,3.565893634484488,13.867107419585446
13,исходный,2,16.31883594985875,3.8837103812097733,14.687041412412658,16.36502580401646,3.894178658277963,14.846239435396251,16.31244587645204,3.882167185074277,14.685077046177417
13,чужие хапаксы,0,11.825925333426953,4.224582869762143,11.456987770557472,11.95608191102528,4.224915906907422,11.603213403263027,11.825765436401243,4.224920204220662,11.455284762131695
13,чужие хапаксы,1,12.029836554273531,4.167472173296237,11.93406559095889,12.090994344658828,4.160531237535264,12.045240284928365,12.029378876128257,4.170227621299037,11.928317038208865
13,чужие хапаксы,2,11.899201268630136,4.466418331392917,12.488062506803775,12.070064694861337,4.453264386609986,12.706193041582402,11.89709702606764,4.467176679000742,12.48794431505109
