x,y,tok,cls,hap,text,norm
-5.54771,59.90778,Ġin,служ,повторяется,8,39.12703
-14.123319,-20.395306,W,подслово,hapax,8,36.388836
-27.70484,-30.528437,ĠParker,смысл-редк,повторяется,8,35.193874
46.70874,-46.466267,",",пункт,повторяется,8,41.1654
24.267187,30.863415,Ġthan,служ,повторяется,8,37.645252
3.5978189,38.25979,Ġhas,служ,повторяется,8,39.29496
-19.70456,8.926872,Ġnoticed,смысл-редк,hapax,8,37.944427
4.075148,37.4686,Ġhad,служ,повторяется,8,39.514187
-27.63247,-37.620075,ĠWest,смысл-част,повторяется,8,35.831947
-14.741499,-19.757563,Ġ7,пункт,hapax,8,38.1133
-42.999977,-25.562258,Ġhumanitarian,смысл-редк,повторяется,8,36.24918
-39.59733,-33.295235,ĠEbola,смысл-редк,повторяется,8,35.202953
8.450605,12.922765,Ġother,служ,повторяется,9,37.99413
-18.842922,29.342117,Ġgo,смысл-част,hapax,9,37.19774
-49.666138,13.301882,Ġline,смысл-част,повторяется,9,35.9706
28.482273,-10.843147,ĠMake,смысл-редк,hapax,9,38.033134
6.370714,27.081026,Ġwill,служ,повторяется,9,37.82729
27.472673,-31.654133,.,пункт,повторяется,9,40.43279
15.198644,31.27847,Ġcan,служ,повторяется,9,37.28615
-48.312847,9.878114,Ġarea,смысл-част,повторяется,9,36.09
-50.512554,13.885764,Ġreel,смысл-редк,повторяется,9,36.41471
64.019424,23.299816,Ġand,служ,повторяется,9,40.992554
32.6818,-37.328407,.,пункт,повторяется,9,39.425117
66.14287,-11.191004,Ġthe,служ,повторяется,9,38.70197
-49.23853,13.766839,Ġknot,смысл-редк,повторяется,9,35.967396
35.0876,32.82513,Ġthat,служ,повторяется,9,40.532482
64.15769,23.742052,Ġand,служ,повторяется,9,40.551727
49.441185,-50.964973,",",пункт,повторяется,9,40.84511
-2.3726237,-18.086567,ed,подслово,повторяется,9,38.09046
66.20754,-11.043887,Ġthe,служ,повторяется,9,38.620483
65.60461,-10.971092,Ġthe,служ,повторяется,9,38.45363
-26.416697,30.214577,Ġover,служ,повторяется,9,36.74101
-48.33657,15.239196,Ġpulled,смысл-редк,hapax,9,36.17492
-26.223999,-43.49105,ĠCross,смысл-редк,hapax,9,37.414635
-22.17799,-17.983395,Ġover,служ,повторяется,9,34.903027
0.8671111,25.471184,Ġsure,смысл-част,повторяется,9,37.709427
-48.32357,15.236161,Ġtied,смысл-редк,hapax,9,36.709393
-50.22991,13.61715,Ġloop,смысл-редк,повторяется,9,36.858624
-6.493158,-13.084369,Ġvertical,смысл-редк,hapax,9,40.36074
63.97441,23.243553,Ġand,служ,повторяется,9,40.61518
27.368732,41.56044,Ġor,служ,повторяется,9,39.444153
66.099945,-11.170718,Ġthe,служ,повторяется,9,38.48908
-27.73802,26.998434,Ġaround,служ,hapax,9,37.267426
66.242874,-11.143433,Ġthe,служ,повторяется,9,38.551937
-49.73577,13.46245,Ġline,смысл-част,повторяется,9,35.27667
-49.653973,12.611275,Ġlines,смысл-част,повторяется,9,35.80904
-49.668953,13.1895895,Ġline,смысл-част,повторяется,9,35.96873
45.127632,51.834034,Ġof,служ,повторяется,9,38.44529
29.25307,-11.870681,ĠHold,смысл-редк,hapax,9,37.38037
-48.70923,10.066825,Ġbottom,смысл-редк,повторяется,9,38.550613
-48.501137,15.075054,Ġpull,смысл-редк,повторяется,9,36.695156
65.046875,-10.750126,Ġthe,служ,повторяется,9,38.124023
12.068536,62.68013,Ġfor,служ,повторяется,10,39.152554
25.633593,53.032635,ĠAs,служ,повторяется,10,37.83276
-9.373619,29.59165,Ġgot,смысл-част,повторяется,10,37.438595
25.787613,0.5334623,Ġthem,служ,hapax,10,36.71086
27.700815,5.7750216,Ġhe,служ,повторяется,10,37.31774
-21.158405,-10.007833,Ġsyndrome,смысл-редк,hapax,10,36.467358
-12.641531,3.0171022,Ġattacks,смысл-редк,hapax,10,36.577477
48.67597,-47.46827,",",пункт,повторяется,10,40.882446
-21.41791,-10.136786,Ġvisitors,смысл-редк,hapax,10,36.30699
34.556236,-32.980328,.,пункт,повторяется,10,41.012577
27.568521,16.832447,Ġalthough,служ,hapax,10,38.77321
