набор,текст,условие,полн: каркас ребро,полн: каркас CV,полн: ячейки ребро,q*
механические,3,чужие хапаксы,0.7361318955974773,0.10994063166175248,0.4472675010889611,0.34833333333333333
механические,3,хапаксы одного домена,0.7385754610907259,0.09519485396609255,0.45055549802162903,0.30833333333333335
механические,3,20 чужих хапаксов,0.7453277655761704,0.10023957087721928,0.44554107355886186,0.3133333333333333
механические,3,маркер каждые 3,0.7692636632991096,0.11079423349760424,0.42556371819838296,0.4533333333333333
механические,3,без пунктуации,0.7612497540540702,0.08715378590593513,0.4622047048315919,0.3283333333333333
механические,3,без служебных,0.7408819827818743,0.09801332113543525,0.43314323493477797,0.295
механические,4,исходный,0.737071185667007,0.09610414763267246,0.39189721582529574,0.3499999999999999
механические,4,перемешивание,0.7211875562527797,0.08742516205720359,0.4468814950969235,0.34833333333333333
механические,4,эхо x2,0.745683536485125,0.08194747062559475,0.3059121356501212,0.47833333333333333
механические,4,эхо x4,0.7699019936782617,0.08582962191659327,0.2176081177560686,0.6783333333333333
механические,4,эхо на четверти,0.7428998874693552,0.09255506695470551,0.32787566942854535,0.4216666666666667
механические,4,словарь к 25,0.7361686679934994,0.09138229695754742,0.40850052441277346,0.5866666666666666
механические,4,словарь к 60,0.7326596137223667,0.09720946264777543,0.4103088076793148,0.4683333333333333
механические,4,все слова разные,0.7298134793030261,0.10517199404043136,0.4176055358985576,0.25833333333333336
механические,4,чужие хапаксы,0.7155907343687834,0.0927065545915553,0.4066357721474401,0.36833333333333335
механические,4,хапаксы одного домена,0.7222573434761174,0.09682213483485136,0.400948784231886,0.36000000000000004
механические,4,20 чужих хапаксов,0.735617370920138,0.08545518737106832,0.38427045417035677,0.345
механические,4,маркер каждые 3,0.7559605910027919,0.09336849275683518,0.3895069716931445,0.4383333333333333
механические,4,без пунктуации,0.760359037253231,0.07977227265257435,0.48671974851016003,0.3316666666666666
механические,4,без служебных,0.7213382537928306,0.1018399720762993,0.38513808712348174,0.31666666666666665
механические,5,исходный,0.7461554532867046,0.10218217571641545,0.39487439380420053,0.38999999999999996
механические,5,перемешивание,0.7329349924910754,0.09295163344468953,0.4574329038744292,0.355
механические,5,эхо x2,0.764716824160133,0.0895396794329445,0.3465396455038141,0.4666666666666666
механические,5,эхо x4,0.7803081724343367,0.08786062949848449,0.23359637831917776,0.6433333333333334
механические,5,эхо на четверти,0.7581097053127647,0.08803185247038743,0.3701439610932249,0.425
механические,5,словарь к 25,0.7529245958512604,0.08448131703317309,0.4409040642493196,0.6266666666666666
механические,5,словарь к 60,0.7453490031694976,0.09398068533275993,0.43202211755396974,0.5233333333333333
механические,5,все слова разные,0.7297869389975203,0.09977111157765191,0.4177192135093664,0.3
механические,5,чужие хапаксы,0.7293328458050171,0.0983291149612671,0.4184958007591966,0.36999999999999994
механические,5,хапаксы одного домена,0.7308683465618849,0.09362445587672469,0.4220858513797276,0.3633333333333333
механические,5,20 чужих хапаксов,0.7473166790200594,0.08777092827097827,0.40753450865463714,0.385
механические,5,маркер каждые 3,0.757056917918666,0.09580788789878558,0.3894810906229482,0.4716666666666667
механические,5,без пунктуации,0.744818178537311,0.09576105229665909,0.4682680649208936,0.34500000000000003
механические,5,без служебных,0.7264337779206816,0.08699307350079048,0.3973663720361203,0.305
механические,6,исходный,0.7527413968099678,0.09550551975501241,0.4574147096523224,0.34
механические,6,перемешивание,0.7420751252796897,0.08726165504260545,0.49307472280036196,0.34833333333333333
механические,6,эхо x2,0.7670344626883071,0.0868256877666358,0.39372090605736093,0.42333333333333334
механические,6,эхо x4,0.7962930278932179,0.07482438578001965,0.3117342645787841,0.5416666666666666
механические,6,эхо на четверти,0.7553477630708826,0.09545877083300526,0.41869367933927376,0.375
механические,6,словарь к 25,0.7693577493404513,0.0987880224091227,0.4606399934839647,0.6416666666666667
механические,6,словарь к 60,0.750177067034702,0.09593885214849703,0.45226428210791814,0.5766666666666665
механические,6,все слова разные,0.7458195972911782,0.09535576538326652,0.45555891815353333,0.28333333333333327
механические,6,чужие хапаксы,0.728832896014623,0.10495437689343305,0.4390416733471853,0.34
механические,6,хапаксы одного домена,0.7348866535521298,0.09345791048933078,0.4538486882296123,0.3283333333333333
механические,6,20 чужих хапаксов,0.7430029055484867,0.092248943453333,0.44872638610996907,0.3583333333333334
механические,6,маркер каждые 3,0.7589782707228715,0.09306383128372364,0.3854909884111298,0.4716666666666667
механические,6,без пунктуации,0.7625943869839243,0.07658972657295919,0.49104628946608564,0.32833333333333337
механические,6,без служебных,0.7413551085595884,0.09348122895744197,0.434810677669428,0.27666666666666667
механические,7,исходный,0.7522459309057753,0.09318566668492811,0.42321777187795145,0.3466666666666667
механические,7,перемешивание,0.7457513045782669,0.09506970271887527,0.4563999467811475,0.3516666666666666
механические,7,эхо x2,0.7752480865995314,0.08147676083902826,0.35473610310767567,0.5316666666666667
механические,7,эхо x4,0.8026517927657602,0.0607544111218461,0.2395697454589749,0.7116666666666666
механические,7,эхо на четверти,0.7481592938490347,0.0885886515084889,0.361694089467322,0.4566666666666667
механические,7,словарь к 25,0.7532944384485692,0.09551704518373007,0.42747619077583154,0.6783333333333333
механические,7,словарь к 60,0.7667346776700984,0.0854968154522985,0.44083479091870353,0.5683333333333334
механические,7,все слова разные,0.7346793651152139,0.11243683116365986,0.43373491132440894,0.23833333333333337
механические,7,чужие хапаксы,0.7365424887525314,0.09630004065085888,0.4149056315572562,0.33499999999999996
механические,7,хапаксы одного домена,0.7443311330556089,0.09714461002850568,0.4244598311998133,0.33666666666666667
механические,7,20 чужих хапаксов,0.7465887220409207,0.10267603125173454,0.41976141525884664,0.3566666666666667
механические,7,маркер каждые 3,0.7695600326811212,0.10758481812449029,0.3926824893098846,0.4583333333333333
механические,7,без пунктуации,0.7666365632758073,0.07679183710689262,0.46175332438681443,0.3416666666666666
механические,7,без служебных,0.7338499829750073,0.10712342860824875,0.44932621924932575,0.2783333333333333
механические,8,исходный,0.7253772331367986,0.11574173318997794,0.3790717259034264,0.35666666666666663
механические,8,перемешивание,0.7444619167576537,0.0843740585902602,0.5045044432847421,0.36833333333333335
механические,8,эхо x2,0.7527889033110409,0.09625099004899958,0.3288798210327373,0.48500000000000004
механические,8,эхо x4,0.780919384516647,0.08654941819724403,0.2254787630538041,0.6233333333333334
механические,8,эхо на четверти,0.7277939065449223,0.10113735675363833,0.3666900337661521,0.44166666666666665
механические,8,словарь к 25,0.7548837715108673,0.09266797522333654,0.41315789406907416,0.6350000000000001
механические,8,словарь к 60,0.7387133946850838,0.11079145686115871,0.40788391244785743,0.5066666666666667
механические,8,все слова разные,0.7430012604052137,0.09505680050336325,0.43229138380133486,0.18333333333333335
механические,8,чужие хапаксы,0.7275155240099926,0.11121693830018207,0.41582195674730477,0.32666666666666666
механические,8,хапаксы одного домена,0.7328171129630041,0.10522360709550503,0.4036726454830362,0.3416666666666666
механические,8,20 чужих хапаксов,0.7220992125892532,0.11341979205026216,0.38778422828512366,0.35333333333333333
механические,8,маркер каждые 3,0.7540835280291422,0.1035103109808249,0.41648432850783895,0.445
механические,8,без пунктуации,0.7396891767338524,0.09881078323736088,0.4060031566346421,0.36999999999999994
механические,8,без служебных,0.7167463922108062,0.12898225894956739,0.3860369344103962,0.3466666666666667
механические,9,исходный,0.7563934844181048,0.08187165233250145,0.4260418217935243,0.5216666666666667
механические,9,перемешивание,0.7731037246141689,0.083872842464066,0.539125230151159,0.525
механические,9,эхо x2,0.7597948010921597,0.08369518826375123,0.38524666353973686,0.605
механические,9,эхо x4,0.7904467713976114,0.08438384904831171,0.2900172615695967,0.7283333333333334
механические,9,эхо на четверти,0.7591465381578532,0.09054986412963269,0.39929239524628685,0.5833333333333334
механические,9,словарь к 25,0.7521758903904386,0.09965124330215851,0.4428064841906747,0.7083333333333334
механические,9,словарь к 60,0.7493819163223394,0.09379515729785,0.45482462660755335,0.6083333333333334
механические,9,все слова разные,0.7253972051050993,0.08313394016807966,0.39060941214250394,0.3233333333333333
механические,9,чужие хапаксы,0.7419648247208296,0.10079848232149978,0.4427304804064975,0.52
механические,9,хапаксы одного домена,0.7386594637495465,0.09144155401356445,0.43757980768885346,0.5333333333333333
механические,9,20 чужих хапаксов,0.7527174140538718,0.09797298158650002,0.4320146342219795,0.5283333333333333
механические,9,маркер каждые 3,0.7820096772917235,0.09239588514521314,0.4349240942372245,0.61
механические,9,без пунктуации,0.759270187802097,0.10301508521365721,0.47234655549699495,0.5216666666666666
механические,9,без служебных,0.7743167236270239,0.08387065558685323,0.44799525919760264,0.4366666666666667
механические,10,исходный,0.7387568730098734,0.09676891798061993,0.4067469517716085,0.3333333333333333
