текст,условие,среднее: смысловые,разброс: смысловые,среднее: смысл. одиночки,разброс: смысл. одиночки,разброс: все,среднее: все,"смысловых > 0.1, %","одиночек > 0.1, %","смысловых > 0.2, %","одиночек > 0.2, %","смысловых > 0.3, %","одиночек > 0.3, %","смысловых > 0.5, %","одиночек > 0.5, %",расслоение одиночек
10,20 чужих хапаксов,0.019242466777452533,0.0411611414444065,0.017025883746408767,0.0412813522590391,0.046638244945324175,0.014983382001274805,4.761904761904762,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.03742595867657929
10,маркер каждые 3,-0.045116902427074376,0.12473394387180292,0.05392330980302827,0.04735513898422912,0.09463454680039461,0.001939471958880273,11.76470588235294,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0412176231271856
10,без пунктуации,0.1267142452137624,0.05958446371219431,0.12960693558053868,0.06366590890396656,0.0663812768678769,0.12399937955287754,68.85245901639344,68.62745098039215,6.557377049180328,7.8431372549019605,1.639344262295082,1.9607843137254901,0.0,0.0,0.046599013362733976
10,без служебных,0.07565580869654998,0.050122590417492584,0.06958503490837978,0.04249221111992002,0.058401866299152984,0.0548664744862034,25.806451612903224,24.0,3.225806451612903,0.0,0.0,0.0,0.0,0.0,0.035394818724076425
11,исходный,0.017632763402035085,0.04891817300654915,0.022686902736243054,0.04360803736250633,0.051630858957206725,-0.004248247922019103,9.523809523809524,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023227305284509073
11,перемешивание,0.36158942386972764,0.05792037630154476,0.36780555533497294,0.06075518152507529,0.11344368693864276,0.35664187624932636,100.0,100.0,100.0,100.0,86.04651162790698,87.5,0.0,0.0,0.07190908618881825
11,эхо x2,0.07875725675554095,0.07433602837709165,0.09841768467245858,0.0611830055053181,0.08688907391254337,0.06623893132726932,42.857142857142854,60.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.05114454052249462
11,эхо x4,-0.006385843314268765,0.07259803116074412,,,0.0840970857778581,-0.01597256666823526,3.7037037037037033,,0.0,,0.0,,0.0,,
11,эхо на четверти,0.03276860411886895,0.05374712203630314,0.047539420054498585,0.0597571712983763,0.06479269880481768,0.0179080037435289,14.285714285714285,21.052631578947366,0.0,0.0,0.0,0.0,0.0,0.0,0.03770116239875539
11,словарь к 25,0.13935877020294377,0.058604567997613495,,,0.08308993820258538,0.13146413359949854,83.6734693877551,,12.244897959183673,,2.0408163265306123,,0.0,,
11,словарь к 60,0.10631790574218968,0.055184929607886776,0.1275606415454657,0.07561448691340386,0.07404866808424021,0.09394636534295418,54.347826086956516,72.72727272727273,6.521739130434782,18.181818181818183,0.0,0.0,0.0,0.0,0.03174759914376443
