набор,текст,условие,зерно,"бессмысленных, %","бессм. среди одиночек, %","бессм. среди повторных, %","бессм. среди смысловых, %","осмысленных одиночек, шт","осмысленных типов, шт","бессмысленных типов, шт"
механические,36,эхо x2,1.0,11.513241660300485,11.010236242434383,11.647969012372387,15.492863812191544,32.333333333333336,69.66666666666667,15.0
механические,36,эхо x4,1.0,21.212589751208597,14.35897435897436,21.601414458557315,16.698026728421866,10.333333333333334,49.333333333333336,18.666666666666668
механические,36,эхо на четверти,1.0,4.574452423873214,5.870279146141215,3.8808373590982286,3.5233494363929148,53.333333333333336,84.66666666666667,7.333333333333333
механические,37,20 чужих хапаксов,1.0,10.920875581178379,17.499001697114906,7.439944657057811,11.625874125874125,49.666666666666664,77.66666666666667,16.666666666666668
механические,37,без пунктуации,1.0,84.98390612479818,90.07686932215233,81.9661846455338,87.80960548885078,6.666666666666667,17.0,88.0
механические,37,без служебных,1.0,39.58041394178334,55.416909479409476,29.640152916512516,52.099093774625686,29.0,46.333333333333336,52.0
механические,37,все слова разные,1.0,87.56264794007633,95.801868355222,81.88024175137578,97.0,3.0,7.333333333333333,88.66666666666667
механические,37,исходный,1.0,6.538039547046135,10.32258064516129,4.543993790702188,8.066301310982162,52.0,80.33333333333333,10.333333333333334
механические,37,маркер каждые 3,1.0,25.457875457875456,42.689942907334206,17.58862965942612,20.31807854592665,33.0,52.333333333333336,36.333333333333336
механические,37,перемешивание,1.0,99.43389728356794,100.0,99.11236424394319,100.0,0.0,0.6666666666666666,89.0
механические,37,словарь к 25,1.0,66.59341684389766,85.34223879051466,62.73674334051693,69.66966966966966,4.333333333333333,18.0,52.0
механические,37,словарь к 60,1.0,28.91237615906051,41.04568854568854,25.11695780441633,35.73717948717949,23.666666666666668,50.333333333333336,33.333333333333336
механические,37,хапаксы одного домена,1.0,65.15609156019512,77.3529411764706,59.54601919151742,76.389128476415,12.333333333333334,28.333333333333332,67.33333333333333
механические,37,чужие хапаксы,1.0,69.68233103297185,85.30920060331825,61.93670450636395,88.1528631879263,8.666666666666666,22.666666666666668,77.33333333333333
механические,37,эхо x2,1.0,41.26716036551037,59.561299267181624,36.7247291532805,45.612218953180054,12.666666666666666,42.666666666666664,48.0
механические,37,эхо x4,1.0,8.569931130593574,15.476190476190476,8.191056910569106,2.610857610857611,10.333333333333334,48.333333333333336,10.333333333333334
механические,37,эхо на четверти,1.0,12.402930402930403,14.60858585858586,11.347249260941668,11.572295247724975,46.333333333333336,77.33333333333333,18.333333333333332
механические,38,20 чужих хапаксов,1.0,29.06090624437236,34.1810443984357,25.416607594825418,31.54970760233918,46.333333333333336,69.66666666666667,38.333333333333336
механические,38,без пунктуации,1.0,93.18611705037046,94.75385287699878,91.82702020202021,97.52136752136751,4.0,8.666666666666666,99.0
механические,38,без служебных,1.0,46.18583232647786,57.164984725225686,36.581764488741236,59.31650489583668,33.333333333333336,51.333333333333336,60.0
механические,38,все слова разные,1.0,97.19705575076189,99.19678714859437,95.27090505554925,99.29078014184397,0.6666666666666666,1.6666666666666667,99.33333333333333
