mode,q,d_hat,d_se,slope,intercept,r2,resid_rmse,resid_max,slope_se,n_points,n_min,n_max,policy,genre,text,ntok,L_used
q0.5_range,0.0,5.094159903011113,0.2679864427248001,0.8036967784601915,3.2000519750194427,0.99901037160527,0.013353480060443144,0.028163410990445392,0.010326845453904252,8,51,256,abs_L,xsum,xsum_1,677,256
q0.5_range,0.3,13.418980289670632,0.8840463339382716,0.9254786892585454,2.9033584076687147,0.9998311826505805,0.006348378061482179,0.01142704854245924,0.004909485679174116,8,51,256,abs_L,xsum,xsum_1,677,256
q_large,0.0,9.127174219729305,0.4453284795899412,0.8904370645365354,3.6789416186158403,0.9997837946366808,0.006912490917959712,0.014438398232672789,0.005345739469274929,8,51,256,abs_L,xsum,xsum_1,677,256
q_large,0.3,6.7760730999351155,0.33010308816314726,0.8524218990480525,3.4017125248461806,0.9995733776743332,0.00929651569554178,0.019821890378030282,0.007189412828199424,8,51,256,abs_L,xsum,xsum_1,677,256
q_large,0.6,4.229480914429803,0.23154902930424082,0.7635643663532609,3.091409589407444,0.9982787283602925,0.01673769347722047,0.034544094433714534,0.01294400957740607,8,51,256,abs_L,xsum,xsum_1,677,256
q_large,0.9,3.042300098386655,0.19625467670726907,0.6713013287116861,1.5972146839141967,0.99404946442545,0.02741843714682343,0.04372789461697568,0.021203908024065795,8,51,256,abs_L,xsum,xsum_1,677,256
q_small,0.0,9.127174219729305,0.4453284795899412,0.8904370645365354,3.6789416186158403,0.9997837946366808,0.006912490917959712,0.014438398232672789,0.005345739469274929,8,51,256,abs_L,xsum,xsum_1,677,256
q_small,0.3,15.590074682395228,1.0460100653788442,0.9358566254253272,3.233417229939589,0.9998731307260835,0.005565013945291196,0.009840114436260095,0.004303675049628748,8,51,256,abs_L,xsum,xsum_1,677,256
q_small,0.6,21.51268252086346,1.4557673400838453,0.9535157924154657,2.6442787204270886,0.9999347060738955,0.004067519281562086,0.006896722041961567,0.003145595216478225,8,51,256,abs_L,xsum,xsum_1,677,256
q_small,0.9,24.73862720112532,1.8484594480624872,0.9595773851204439,1.3095374470501047,0.9999405594393426,0.0039055798361715085,0.0073214901487581585,0.0030203601752852283,8,51,256,abs_L,xsum,xsum_1,677,256
q0.5_range,0.0,4.432201487667237,0.08399510470408215,0.7743784882563357,3.2722214061277892,0.9998171077828162,0.005528938638532442,0.013437103244417159,0.0042757763958011655,8,51,256,abs_L,xsum,xsum_2,719,256
q0.5_range,0.3,10.175448014436832,0.6670398213428472,0.9017242288908351,2.9828597711888447,0.9996938317526325,0.008330507627529257,0.015295787117811876,0.006442355433390321,8,51,256,abs_L,xsum,xsum_2,719,256
q_large,0.0,7.741307424117159,0.13794454637980297,0.8708228539168185,3.7393754157227175,0.9999580796190782,0.0029764780955009434,0.006045375413048504,0.002301844099818085,8,51,256,abs_L,xsum,xsum_2,719,256
q_large,0.3,5.865100946959151,0.09292615767892594,0.8294999508033251,3.4578759416745255,0.9999363695666392,0.0034931222267054213,0.007466072470140972,0.0027013881942013905,8,51,256,abs_L,xsum,xsum_2,719,256
q_large,0.6,3.6971045274245005,0.07273312966634958,0.7295180613417425,3.175470420541623,0.9996808769524531,0.006880747184861004,0.016077961190661405,0.005321190615765841,8,51,256,abs_L,xsum,xsum_2,719,256
q_large,0.9,3.026199405533096,0.2844745810833937,0.6695525092723228,1.5520980565044027,0.9872501248990774,0.040167533810995894,0.06511205001937004,0.031063356672048136,8,51,256,abs_L,xsum,xsum_2,719,256
q_small,0.0,7.741307424117159,0.13794454637980297,0.8708228539168185,3.7393754157227175,0.9999580796190782,0.0029764780955009434,0.006045375413048504,0.002301844099818085,8,51,256,abs_L,xsum,xsum_2,719,256
q_small,0.3,11.745115296373987,0.703972421258027,0.9148582219274829,3.3134648141215624,0.9998133428023775,0.006598843998015791,0.012469391758928694,0.005103182229162761,8,51,256,abs_L,xsum,xsum_2,719,256
q_small,0.6,15.687316940066884,0.6134277994293341,0.9362542362202229,2.7211128747440942,0.9999574717598162,0.0032232418725023707,0.006596065776382609,0.0024926776036823107,8,51,256,abs_L,xsum,xsum_2,719,256
q_small,0.9,18.4382618470521,0.9670078806977328,0.9457649528846517,1.3991201409633447,0.9999457323065883,0.0036780433328839424,0.00518924244763852,0.0028443959851313025,8,51,256,abs_L,xsum,xsum_2,719,256
q0.5_range,0.0,4.696646600873713,0.2201079501668655,0.7870821279561526,3.1605227709940436,0.9990365870750174,0.012902882668028668,0.02385800427170004,0.009978378266898761,8,51,256,abs_L,xsum,xsum_3,697,256
q0.5_range,0.3,11.223197300918509,1.1905677856944923,0.9108988309491663,2.864146965036982,0.9993543868796614,0.012222153008721546,0.021665610482856756,0.009451939469241975,8,51,256,abs_L,xsum,xsum_3,697,256
q_large,0.0,7.968321216754536,0.37310477986037566,0.8745030511700059,3.6498059052713434,0.9997291647128352,0.007598431131703781,0.013510247956110888,0.005876207822534894,8,51,256,abs_L,xsum,xsum_3,697,256
q_large,0.3,6.226446911768423,0.28845651022312674,0.8393947600982625,3.3497863636917935,0.9995287909932611,0.009621140362177495,0.01694934549072169,0.007440459652525228,8,51,256,abs_L,xsum,xsum_3,697,256
q_large,0.6,3.9262629160908507,0.1645335468413668,0.745304881162762,3.056200176868707,0.9987710317467284,0.013801379193491654,0.028358657929156372,0.010673225955840327,8,51,256,abs_L,xsum,xsum_3,697,256
q_large,0.9,3.302439900723442,0.41929627928884505,0.6971935810910784,1.3671762667601426,0.9820817959859787,0.049713912945808056,0.11112966187532702,0.03844600011206161,8,51,256,abs_L,xsum,xsum_3,697,256
q_small,0.0,7.968321216754536,0.37310477986037566,0.8745030511700059,3.6498059052713434,0.9997291647128352,0.007598431131703781,0.013510247956110888,0.005876207822534894,8,51,256,abs_L,xsum,xsum_3,697,256
q_small,0.3,12.031239946357399,1.1020445522504703,0.9168830474283108,3.2234399206936253,0.9995864762217839,0.009844760610438976,0.015512437350370334,0.007613395226900392,8,51,256,abs_L,xsum,xsum_3,697,256
q_small,0.6,15.284434987436086,0.9703933453353139,0.9345739635896252,2.6412755300348114,0.9998814857739037,0.0053712555597314705,0.007779075835399496,0.004153832993923692,8,51,256,abs_L,xsum,xsum_3,697,256
q_small,0.9,12.973636533301773,1.1717903514253103,0.9229206092344949,1.4177915920137474,0.99965870710756,0.009002295177489178,0.015068399249689612,0.006961878896554339,8,51,256,abs_L,xsum,xsum_3,697,256
q0.5_range,0.0,4.785965348099014,0.3476634403593848,0.7910557375019023,3.1925914447498918,0.9977959640640102,0.019626673977335994,0.03820147315935074,0.015178187859696176,8,51,256,abs_L,xsum,xsum_4,500,256
q0.5_range,0.3,10.715496764495654,0.46513085850535313,0.9066772150673066,2.938323567672348,0.9998802446560087,0.005238142619003346,0.008087387153240755,0.00405089078256067,8,51,256,abs_L,xsum,xsum_4,500,256
q_large,0.0,7.831098357501576,0.3657476713085468,0.8723039918095169,3.7162685274986385,0.9997196076468898,0.007711928544724742,0.01605003111209946,0.005963980465949206,8,51,256,abs_L,xsum,xsum_4,500,256
q_large,0.3,6.137079525214262,0.360943227714897,0.8370560466274735,3.411818502932697,0.9992141646742497,0.012392022130211502,0.025322991735350797,0.009583306884857756,8,51,256,abs_L,xsum,xsum_4,500,256
q_large,0.6,3.9789079688829454,0.31383924976511096,0.7486747600546428,3.091140022665479,0.9958110925686293,0.025633402283080198,0.04903555399326365,0.019823460449031514,8,51,256,abs_L,xsum,xsum_4,500,256
q_large,0.9,3.2653321768489882,0.36437857371273336,0.6937524435982529,1.4348113122725346,0.9856496998737029,0.04419008941538778,0.07487238557674925,0.034174179458936915,8,51,256,abs_L,xsum,xsum_4,500,256
q_small,0.0,7.831098357501576,0.3657476713085468,0.8723039918095169,3.7162685274986385,0.9997196076468898,0.007711928544724742,0.01605003111209946,0.005963980465949206,8,51,256,abs_L,xsum,xsum_4,500,256
q_small,0.3,11.813498100767612,0.42240957541579277,0.9153510677810984,3.2889001071691717,0.9999344004559776,0.003913843965061703,0.006145617292407479,0.003026751197061865,8,51,256,abs_L,xsum,xsum_4,500,256
q_small,0.6,13.993198253422387,0.41102598777228333,0.9285367089146025,2.731857091251648,0.9999693373001078,0.0027143265324901856,0.005711380260088106,0.002099110530407139,8,51,256,abs_L,xsum,xsum_4,500,256
q_small,0.9,16.18346345272966,1.1755585574300147,0.9382085297797407,1.4120022624686652,0.9998626921050332,0.005804009426392427,0.008893241834739385,0.004488500981621192,8,51,256,abs_L,xsum,xsum_4,500,256
q0.5_range,0.0,4.993323538476113,0.24343663485949274,0.7997325844611333,3.0901596936203317,0.9991065165670112,0.012625055822968918,0.024543544433651476,0.009763522298350391,8,51,256,abs_L,xsum,xsum_5,538,256
q0.5_range,0.3,11.302992302714994,0.9795389932395191,0.911527852694388,2.8687088927847775,0.9995756768039669,0.009914290723655225,0.01612748468192038,0.007667165984060817,8,51,256,abs_L,xsum,xsum_5,538,256
q_large,0.0,8.528045068233427,0.38404306404662214,0.8827398316966037,3.6122881394106416,0.9997853383458946,0.00682822364291705,0.011560395502526077,0.005280571803449371,8,51,256,abs_L,xsum,xsum_5,538,256
q_large,0.3,6.618064706219861,0.3079005212960254,0.8488984250848788,3.301603288304782,0.9995887007238734,0.009090236675048798,0.01701478810621193,0.007029888003556589,8,51,256,abs_L,xsum,xsum_5,538,256
q_large,0.6,4.193143557171897,0.19446364512486403,0.7615154391054384,2.9631182496361697,0.99873595530782,0.014301636787844742,0.028106082796574228,0.011060097605825388,8,51,256,abs_L,xsum,xsum_5,538,256
q_large,0.9,3.757315745224726,0.43322443736392874,0.7338525511807393,1.1965743327051654,0.9896171644376661,0.03968115878419432,0.08448459830824717,0.030687221034620023,8,51,256,abs_L,xsum,xsum_5,538,256
