contrast,mode,q,n,diff,rel,effect
syntax_complex − syntax_simple,q0.5_range,0.4,188,3.9000015378082282,0.270390068359105,1.7405175295038038
syntax_complex − syntax_simple,q0.5_range,0.45,188,3.7636965561459985,0.2446385639276606,1.7020637018849174
syntax_complex − syntax_simple,q0.5_range,0.5,188,3.510276524022548,0.21750211043695927,1.6389752886186009
syntax_complex − syntax_simple,q_large,0.0,188,1.5862137250683057,0.19251041161274302,1.727114756913199
syntax_complex − syntax_simple,q_large,0.05,188,1.5614094794120283,0.19711276529497385,1.7128447480462028
syntax_complex − syntax_simple,q_large,0.1,188,1.5050262443072149,0.1973472693617891,1.6949813705103003
syntax_complex − syntax_simple,q_large,0.15,188,1.4493851750611613,0.19826160166422918,1.678040802303266
syntax_complex − syntax_simple,q_large,0.2,188,1.398670465847959,0.20033594045431172,1.6627667470493472
syntax_complex − syntax_simple,q_large,0.25,188,1.3518977242402717,0.20355349468403097,1.6529413481418658
syntax_complex − syntax_simple,q_large,0.3,188,1.3078054622245878,0.20789220825686686,1.6474641821336806
syntax_complex − syntax_simple,q_large,0.35,188,1.2658847589896591,0.21351593442948968,1.648539526126039
syntax_complex − syntax_simple,q_large,0.4,188,1.223879473620835,0.22033177574131302,1.6565594127305545
syntax_complex − syntax_simple,q_large,0.45,188,1.1787533687204512,0.2280175868674796,1.6706411488805681
syntax_complex − syntax_simple,q_large,0.5,188,1.124629042464102,0.23541333933820738,1.6885735015136583
syntax_complex − syntax_simple,q_large,0.55,188,1.0489849686275128,0.2390389942369375,1.6998363339503635
syntax_complex − syntax_simple,q_large,0.6,188,0.9324018694165677,0.2319131514235297,1.6676958516078033
syntax_complex − syntax_simple,q_large,0.65,188,0.7568230334242042,0.20465487851473296,1.517907591507291
